CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,Year,Diff,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,CM 4,CM 3,CM 2,Tampering 1,Severity,For Geocoding,Geocode Results,Address
807912439,10/30/2015,01:00:00,12/05/2015,01:00:00,2015,61,12/30/2015,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,REAR OF,RESTAURANT/DINER,,,945449,166800,40.624427193,-74.139777027,"(40.624427193, -74.139777027)",5,,,,5,"40.624427193,-74.139777027","1565 Forest Ave, Staten Island, NY 10302, USA","1565 Forest Ave, Staten Island"
995122324,10/30/2015,11:23:00,10/30/2015,12:00:00,2015,34,12/03/2015,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,28,,TRANSIT - NYC SUBWAY,,,998181,231480,40.80203233,-73.949682945,"(40.80203233, -73.949682945)",,,,24,24,"40.80203233,-73.949682945","100 W 116th St, New York, NY 10026, USA","100 W 116th St, New York"
297139442,10/30/2014,14:28:00,10/30/2014,14:28:00,2014,399,12/03/2015,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BRONX,40,,TRANSIT - NYC SUBWAY,,,1007034,236608,40.816088874,-73.917688689,"(40.816088874, -73.917688689)",,,,24,24,"40.816088874,-73.917688689","399E E 149th St, Bronx, NY 10455, USA","399E E 149th St, Bronx"
673853858,10/30/2015,"extFilterSelector2"", //the",10/30/2015,13:32:00,2015,31,11/30/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120,,STREET,,,962873,174172,40.644720944,-74.07703272,"(40.644720944, -74.07703272)",5,,,,5,"40.644720944,-74.07703272","75 Richmond Terrace, Staten Island, NY 10301, USA","75 Richmond Terrace, Staten Island"
342034186,10/30/2015,20:00:00,10/31/2015,18:30:00,2015,25,11/24/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,,PARK/PLAYGROUND,COLEMAN PLAYGROUND,,985236,198021,40.710206816,-73.99644494,"(40.710206816, -73.99644494)",5,,,,5,"40.710206816,-73.99644494","101-105 Cherry St, New York, NY 10002, USA","101-105 Cherry St, New York"
169806960,10/30/2015,05:13:00,,,2015,21,11/20/2015,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BRONX,46,,TRANSIT - NYC SUBWAY,,,1009494,247830,40.846883343,-73.908759117,"(40.846883343, -73.908759117)",,,,24,24,"40.846883343,-73.908759117","1791 Grand Concourse, Bronx, NY 10453, USA","1791 Grand Concourse, Bronx"
160864581,10/30/2015,17:15:00,10/30/2015,17:27:00,2015,19,11/18/2015,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,25,,TRANSIT - NYC SUBWAY,,,1000414,230243,40.7986333,-73.941620371,"(40.7986333, -73.941620371)",,,,24,24,"40.7986333,-73.941620371","143 E 116th St, New York, NY 10029, USA","143 E 116th St, New York"
246417278,10/30/2015,11:30:00,,,2015,18,11/17/2015,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,REAR OF,STREET,,,981614,196210,40.70523571,-74.009508802,"(40.70523571, -74.009508802)",5,,,,5,"40.70523571,-74.009508802","65 Beaver St, New York, NY 10005, USA","65 Beaver St, New York"
289230102,10/30/2015,01:00:00,11/14/2015,21:00:00,2015,15,11/14/2015,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,REAR OF,RESIDENCE-HOUSE,,,946010,171057,40.636114187,-74.137780222,"(40.636114187, -74.137780222)",5,,,,5,"40.636114187,-74.137780222","1631 Castleton Ave, Staten Island, NY 10302, USA","1631 Castleton Ave, Staten Island"
478553323,10/30/2015,01:00:00,11/14/2015,21:00:00,2015,15,11/14/2015,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,,STREET,,,946243,171958,40.638588239,-74.1369458,"(40.638588239, -74.1369458)",5,,,,5,"40.638588239,-74.1369458","56-58 Sharpe Ave, Staten Island, NY 10302, USA","56-58 Sharpe Ave, Staten Island"
652053335,10/30/2015,15:00:00,11/01/2015,23:00:00,2015,13,11/12/2015,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,110,INSIDE,COMMERCIAL BUILDING,FLUSHING MEADOWS CORONA PARK,,1027350,214375,40.754989552,-73.844434938,"(40.754989552, -73.844434938)",5,,,,5,"40.754989552,-73.844434938","119-125 Roosevelt Ave, Corona, NY 11368, USA","119-125 Roosevelt Ave, Corona"
728885123,10/30/2015,13:00:00,,,2015,12,11/11/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,INSIDE,RESIDENCE - APT. HOUSE,,,1014862,256991,40.872010543,-73.889315108,"(40.872010543, -73.889315108)",5,,,,5,"40.872010543,-73.889315108","12 E 199th St, Bronx, NY 10468, USA","12 E 199th St, Bronx"
618970210,10/30/2015,14:36:00,,,2015,9,11/08/2015,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,,,1016802,250581,40.854410101,-73.882331632,"(40.854410101, -73.882331632)",,,12,,12,"40.854410101,-73.882331632","2422 Kalief Browder Way, Bronx, NY 10458, USA","2422 Kalief Browder Way, Bronx"
496710514,10/30/2015,22:00:00,10/30/2015,23:55:00,2015,6,11/05/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,QUEENS,114,INSIDE,RESIDENCE - PUBLIC HOUSING,,,999585,214041,40.754164551,-73.944651523,"(40.754164551, -73.944651523)",5,,,,5,"40.754164551,-73.944651523","41-15 12th St, Long Island City, NY 11101, USA","41-15 12th St, Long Island City"
805563889,10/30/2015,22:00:00,,,2015,6,11/05/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,990908,207051,40.734989536,-73.975977076,"(40.734989536, -73.975977076)",5,,,,5,"40.734989536,-73.975977076","5 Peter Cooper Rd, New York, NY 10010, USA","5 Peter Cooper Rd, New York"
