Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Second Sino-Japanese War	Mainland China and British Burma|Burma	{{Age in years, months, weeks and days |month1|=|07|day1|=|07|year1|=|1937|month2|=|09|day2|=|09|year2|=|1945}}	* Chinese victory as part of the Allies of World War II|Allied victory in the Pacific War* Surrender of all Japanese forces in mainland China (excluding Manchuria), Formosa/Taiwan, the Spratly Islands, the Paracel Islands, and French Indochina north of 16th parallel north|16° north to the Republic of China (1912–1949)|Republic of China after losing territory to China* China was one of the Big Four (World War II)|Big Four of the Allies and becomes a permanent member of the United Nations Security Council|U.N. Security Council* Resumption of the Chinese Civil War	{{flagcountry|Republic of China (1912–49)|size|=|30px}}	{{Flagdeco|Republic of China (1912–49)|size|=|30px}}	{{Flagicon image|Naval_Jack_of_the_Republic_of_China.svg}}	'''Chinese Nationalists''':''Official ROC data'':1,320,000 killed1,797,000 wounded120,000 missingTotal: 3,237,000ref name=HsuHsu Long-hsuen "History of the Sino-Japanese war (1937&#8211;1945)" Taipei 1972&lt;/ref&gt;ref name=ClodfelterClodfelter, Michael "Warfare and Armed Conflicts: A Statistical Reference", Vol. 2, pp. 956. Includes civilians who died due to famine and other environmental disasters caused by the war.&lt;/ref&gt;''Other estimates'':1,319,000–4,000,000+ military dead and missing500,000 capturedref name="Rummel, Table 6A"https://www.hawaii.edu/powerkills/CHINA.TAB6.A.GIF Rummel, Table 6A.]&lt;/ref&gt;ref name="ReferenceA"R. J. Rummel. ''China's Bloody Century''. Transaction 1991 {{ISBN|0-88738-417-X}}.&lt;/ref&gt;Total: 3,211,000–10,000,000+ military casualtiesref name="ReferenceA"R. J. Rummel. ''China's Bloody Century''. Transaction 1991 {{ISBN|0-88738-417-X}}.&lt;/ref&gt;ref name="Rummel, Table 5A"https://www.hawaii.edu/powerkills/CHINA.TAB5.A.GIF Rummel, Table 5A.] Retrieved 5 October 2015.&lt;/ref&gt;'''Chinese Communists''':''Official PRC data'':160,603 military dead290,467 wounded87,208 missing45,989 POWsTotal: 584,267 military casualtiesrefMeng Guoxiang &amp; Zhang Qinyuan, 1995. "&#20851;&#20110;&#25239;&#26085;&#25112;&#20105;&#20013;&#25105;&#22269;&#20891;&#27665;&#20260;&#20129;&#25968;&#23383;&#38382;&#39064;".&lt;/ref&gt;''Other estimates'':446,740 totalref name="Rummel, Table 5A"'''Total''':3,800,000–10,600,000+ military casualties after July 1937500,000 capturedref name="Rummel, Table 6A"https://www.hawaii.edu/powerkills/CHINA.TAB6.A.GIF Rummel, Table 6A.]&lt;/ref&gt;ref name="ReferenceA"R. J. Rummel. ''China's Bloody Century''. Transaction 1991 {{ISBN|0-88738-417-X}}.&lt;/ref&gt;266,800–1,000,000 POWs deadref name="Rummel, Table 6A"https://www.hawaii.edu/powerkills/CHINA.TAB6.A.GIF Rummel, Table 6A.]&lt;/ref&gt;ref name="ReferenceA"	{{flagcountry|Empire of Japan|size|=|30px}}	{{Flagdeco|Empire of Japan|size|=|30px}}	{{Flagdeco|Empire of Japan|army|size|=|23px}}	{{efn|This number does not include Japanese killed by Chinese forces in the Burma campaign and does not include Japanese killed in Manchuria}}	https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Shanghai	Shanghai and proximity	August 13, 1937 – November 26, 1937(3 months, 1 week, and 6 days)	Japanese victory	{{flagicon|Republic of China (1912–1949)}}	{{flagicon|Republic of China (1912–1949)}}	700,000 troops in 70 divisions and 7 brigades180 aircraft, 40 tanks	~250,000ref name="ww2db.com"http://ww2db.com/battle_spec.php?battle_id=85 WW II Database: The Second Battle of Shanghai] Retrieved 20 May 2016&lt;/ref&gt;	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	300,000 troops in 9 divisions and a brigade,500 aircraft300 tanks130 naval ships	59,493+ (combat casualties excluding death caused by disease)ref{{cite book|title=&#21335;&#20140;&#25126;&#21490;|publisher=Asagumo Shimbunsha|language=Japanese|pp=306&#8211;307|year=1966}}&lt;/ref&gt;ref{{cite book|title=Senshi S&#333;sho (&#25126;&#21490;&#21474;&#26360;)|publisher=Asagumo Shimbunsha|language=Japanese|volume=2|year=1966}}&lt;/ref&gt; 98,417 killed and woundedref&#25140;&#23792;&#12289;&#21608;&#26126;&#12298;&#28126;&#28396;&#26371;&#25136;-1937&#24180;&#20013;&#26085;813&#25136;&#24441;&#22987;&#26411;&#12299;&#65292;&#21488;&#21271;&#24066;&#65306;&#30693;&#20853;&#22530;&#20986;&#29256;&#65292;2013&#24180;&#65292;P194&#12290;&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Shanghai
Defense of Sihang Warehouse	Zhabei District|Zhabei, Shanghai, Republic of China (1912–49)|China	October 26 – November 1, 1937	Chinese victory*Withdrawal of Chinese forces to British concession in 1 November	{{Flag|Republic of China (1912–49)|name|=|Republic of China}}	{{Flagicon|Republic of China (1912–49)|army}}	524th Regiment423 men from the 88th Division (National Revolutionary Army)|88th Division	10 killed37 wounded	{{Flag|Empire of Japan}}	{{Flagicon|Empire of Japan|army}}	3rd Division (Imperial Japanese Army)|3rd Division	200+ killedSeveral armoured cars destroyed and damaged	https://en.wikipedia.org/wiki/Defense_of_Sihang_Warehouse
Beiping–Hankou Railway Operation	Beijing-Hankou Railway	August – December 1937	Japanese victory	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	78,000	?	{{flagicon|Republic of China (1912–49)}}	{{flagicon|Republic of China (1912–49)|army}}	?	?	https://en.wikipedia.org/wiki/Beiping–Hankou_Railway_Operation
Tianjin–Pukou Railway Operation	Tianjin–Pukou Railway	August – November 1937	Japanese victory	{{Flagicon|Empire of Japan}}	{{Flagicon|Empire of Japan|army}}	?	?	{{Flagicon|Republic of China (1912-49)}}	{{Flagicon|Republic of China (1912-49)|army}}	?	?	https://en.wikipedia.org/wiki/Tianjin–Pukou_Railway_Operation
Battle of Taiyuan	Taiyuan, North China Plain	September 1 – November 9, 1937	Japanese victory	{{flagicon|Republic of China (1912–1949)}}	{{flagicon|Republic of China (1912–1949)|army}}	6 Army Groups, ~580,000 men		{{flag|Empire of Japan}}	File:War flag of the Imperial Japanese Army.svg|22x20px|border Isogai Rensuke , File:War flag of the Imperial Japanese Army.svg|22x20px|border Itagaki Seishiro, File:Flag of the Mengjiang.svg|22x20px|border Demchugdongrub	5 Division (military)|divisions, ~140,000 men		https://en.wikipedia.org/wiki/Battle_of_Taiyuan
Battle of Pingxingguan	Pingxingguan, Shanxi	Evening of 24 September – noon of 25 September 1937	Chinese victory	{{flagicon|Republic of China (1912-1949)|1928}}	Lin Biao Zhu De	6,000 troops of the 115th Division	~400ref name=yang	{{flag|Empire of Japan|name |=|Japan}}	Itagaki Seishiro	15,000 troops (5th Division), however only certain supply troops and the 3rd Battalion of the 21st Regiment were involved in the actual ambush	400–500ref name=yang	https://en.wikipedia.org/wiki/Battle_of_Pingxingguan
Battle of Xinkou	Niangzi Pass and Taiyuan	13 September – 11 November 1937	Japanese victory	{{Flagicon|Republic of China (1912–1949)}}	{{Flagicon|Republic of China (1912–1949)|army}}	280,000 in 52 divisions	100,000 dead, injured or missingref name="Documentary"ref name="Article"Article about the Battle of Xinkou http://www.hudong.com/wiki/%E5%BF%BB%E5%8F%A3%E4%BC%9A%E6%88%98&lt;/ref&gt;	{{Flagicon|Empire of Japan}}	{{Flagicon|Empire of Japan|army}}	140,000 in 4 divisions,  350+ artillery guns,  150+ tanks,  300 aircraftref name="baidu"	20,000 killedref name="Documentary"My War of Resistance: The smoke of Xinkou (Documentary) https://www.youtube.com/watch?v=DepjF7kXgrs&amp;feature=results_video&amp;playnext=1&amp;list=PLA4BB7587056DBDED&lt;/ref&gt;ref name="Article"Tens of thousands more woundedDozens of tanks and 24+ planesref name=s1http://news.sohu.com/88/00/news202650088.shtml&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Xinkou
Battle of Nanking	Nanjing|Nanking and surrounding areas	December 1–13, 1937	Japanese victoryFall of NankingNanking Massacre	{{flagcountry|Republic of China (1912–1949)|23px}}	{{flagicon|Republic of China (1912–1949)|army}}	100,000ref name="echo"Ikuhiko Hata, "The Nanking Atrocities: Fact and Fable," ''Japan Echo'', August 1998, 51.&lt;/ref&gt;ref{{cite web|last1=Chen|first1=C. Peter|title=Battle of Nanjing and the Rape of Nanjing|url=https://ww2db.com/battle_spec.php?battle_id=38|website=World War II Database|accessdate=August 17, 2017}}&lt;/ref&gt;	'''Chinese estimate''': 6,000–10,000 killed and woundedref{{cite journal|url=http://jds.cass.cn/UploadFiles/zyqk/2010/12/201012101114478943.pdf|author=Zhaiwei Sun|title=&#21335;&#20140;&#22823;&#23648;&#26432;&#36935;&#38590;&#21516;&#32990;&#20013;&#31350;&#31455;&#26377;&#22810;&#23569;&#20891;&#20154;|year=1997|journal=''&#25239;&#26085;&#25112;&#20105;&#30740;&#31350;''|issue=4|language=zh|archiveurl=https://web.archive.org/web/20150709222256/http://jds.cass.cn/UploadFiles/zyqk/2010/12/201012101114478943.pdf |archivedate=July 9, 2015|accessdate=April 14, 2017}}&lt;/ref&gt;'''Japanese source''': 50,000–70,000 killedrefMichael Richard Gibson, ''Chiang Kai-shek&#8217;s Central Army, 1924&#8211;1938'' (Washington DC: George Washington University, 1985), 388.&lt;/ref&gt;ref name="echo"	{{Flagcountry|Empire of Japan|23px}}	{{flagicon|Empire of Japan|army}}	200,000refKasahara "Nanking Incident" 1997, p 115&lt;/ref&gt;	{{Plainlist|*1,953 killed in battle*4,994 wounded|ref|Masahiro Yamamoto, ''Nanking: Anatomy of an Atrocity'' (Westport, Connecticut: Praeger, 2000), 118. Yamamoto cites Masao Terada, planning chief of Japan's 10th Army.|}}	https://en.wikipedia.org/wiki/Battle_of_Nanking
Battle of Xuzhou	Xuzhou and proximity	24 March-1 May 1938	Japanese tactical  victorySuccessful Chinese breakthroughref name="Doc"Documentary: The Battle of Wuhan https://www.youtube.com/watch?v=PGM-QARKzIg&lt;/ref&gt;	{{flagicon|Republic of China (1912–49)}}	{{flagicon|Republic of China (1912–49)|army}}	600,000 troops in 64 Division (military)|divisions	100,000refhttps://ww2db.com/battle_spec.php?battle_id=173&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	240,000 troops in 8 divisions	30,000refhttps://ww2db.com/battle_spec.php?battle_id=173&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Xuzhou
