Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Invasion of Poland	Second Polish Republic|Poland, Wschowa|Eastern Germany, and the Free City of Danzig	{{Age in years, months, weeks and days|month1|=|09|day1|=|01|year1|=|1939|month2|=|10|day2|=|06|year2|=|1939}}	Decisive German and Soviet victory* Beginning of World War II in European Theater of World War II|Europe	{{ubl|flag|Nazi Germany|name|=|Germany|1935||flagicon|Free City of Danzig|  Free City of Danzig|ref| name= DP|http://www.deutscheundpolen.de/ereignisse/ereignis_jsp/key=polnische_post_1939.html Danzig: Der Kampf um die polnische Post] (in German)|||Flagdeco|Slovakia|1938| Slovak Republic (1939–1945)|Slovak Republic (see Slovak invasion of Poland (1939)|details)}}	{{flagicon|Nazi Germany|1935}}	'''Germany''':60 divisions,6 brigades,9,000 guns,ref name = polishgovernment 2,750 tanks,2,315 aircraftrefER Hooton, p. 85&lt;/ref&gt;'''Slovakia''':3 divisions'''Joined on 17 September:''''''Soviet Union''':33+ divisions,11+ brigades,4,959 guns,4,736 tanks,3,300 aircraft----'''Total''':1,500,000 Germans,ref name=polishgovernment  466,516 Soviets,ref name="Krivosheev" 51,306 Slovaks'''Grand total: 2,000,000+'''	{{refn|The discrepancy in German casualties can be attributed to the fact that some German statistics still listed soldiers as missing decades after the war. Today the most common and accepted numbers are: 8,082 to 16,343 KIA, 320 to 5,029 MIA, 27,280 to 34,136 WIA.|ref| name="ReferenceB" | For comparison, in his 1939 speech following the Polish Campaign Adolf Hitler presented these German figures: 10,576 KIA, 30,222 WIA, and 3,400 MIA.|ref| name="Polish War, German Losses" | According to early Allied estimates, including those of the Polish government-in-exile, the number of German KIA casualties was 90,000 and WIA casualties was 200,000|ref| name="Polish War, German Losses" |ref| name="Nazi Loss in Poland Placed at 290,000" |Equipment losses are given as 832 German tanks |ref| name="ReferenceC" | of with approximately 236|ref| name="ReferenceC" | to 341 as irrecoverable losses and approximately 319 other armored vehicles as irrecoverable losses (including 165 Panzerspähwagen – of them 101 as irrecoverable losses)|ref| name="ReferenceC" | 522–561 German planes (including 246–285 destroyed and 276 damaged), 1 German minelayer (M-85) and 1 German torpedo ship ("Tiger")|group|=|Note}}	{{Flagcountry|Second Polish Republic|1928}}	{{Flagicon image|Flag of Poland (1928-1980).svg}}	{{refn|Various sources contradict each other so the figures quoted above should only be taken as a rough indication of the strength estimate. The most common range differences and their brackets are: German personnel 1,490,900 (official figure of the Polish Ministry of Foreign Affairs) – or 1,800,000. Polish tanks: 100–880, 100 is the number of modern tanks, while the 880 number includes older tanks from the World War I era and tankettes.|ref|Internetowa encyklopedia PWN, article on 'Kampania Wrześniowa 1939'||ref|Website of the Polish Ministry of Foreign Affairs – the Poles on the Front Lines||group|=|Note}}	{{refn|Various sources contradict each other so the figures quoted above should only be taken as a rough indication of losses. The most common range brackets for casualties are: Poland: 63,000 to 66,300 KIA, 134,000 WIA.|ref| name="ReferenceB" | The often cited figure of 420,000 Polish prisoners of war represents only those captured by the Germans, as Soviets captured about 250,000 Polish POWs themselves, making the total number of Polish POWs about 660,000–690,000. In terms of equipment the Polish Navy lost 1 destroyer (ORP Wicher (1928)|ORP ''Wicher''), 1 minelayer (ORP Gryf|ORP ''Gryf'') and several support craft. Equipment loses included 132 Polish tanks and armored cars 327 Polish planes (118 fighters)|ref| name="ReferenceC" |group|=|Note}}	https://en.wikipedia.org/wiki/Invasion_of_Poland
Battle of Westerplatte	Westerplatte, Free City of Danzig	September 1–7, 1939	German/Danzig victory	{{flagicon|Poland}}	{{flagicon|Poland}}	209 soldiers	15–20 dead, 53 wounded, Remainder captured	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	~3,400 soldiers and policemen, 1 pre-dreadnought, 2 torpedo boats, 60 dive bombers	300-400 dead or wounded	https://en.wikipedia.org/wiki/Battle_of_Westerplatte
Battle of Mokra	Mokra, Silesian Voivodeship|Mokra, Kielce Voivodeship (1919–39)|Kielce Voivodeship, Second Polish Republic|Poland	September 1, 1939	Polish victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}		800 killed, missing, captured, or wounded, 100-160 vehicles (50 tanks)	{{flag|Poland}}	{{flagicon|Poland}}		500 killed, missing or wounded, 300 horses, several guns, one tankette	https://en.wikipedia.org/wiki/Battle_of_Mokra
Battle of Mława	Near Mława, Warsaw Voivodeship (1919–39)|Warsaw Voivodeship, Second Polish Republic|Poland	September 1–3, 1939	German victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}		1,800 killed, 3,000 wounded, 1,000 missing, 72 tanks destroyed	{{flag|Poland}}	{{flagicon|Poland}}		1,200 killed, 1,500 wounded	https://en.wikipedia.org/wiki/Battle_of_Mława
Battle of Tuchola Forest	Near Tuchola Forest, Pomeranian Voivodeship (1919–39)|Pomeranian Voivodeship, Second Polish Republic|Poland	1–5 September 1939	German victory	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}		150 killed700 wounded	{{flagicon|Poland}}	{{flagicon|Poland}}		10,000 killed wounded or captured	https://en.wikipedia.org/wiki/Battle_of_Tuchola_Forest
Battle of Jordanów	Jordanów, Kraków Voivodeship (1919–39)|Kraków Voivodeship, Second Polish Republic|Poland	1–3 September 1939	Pyrrhic German victory	{{flag|Poland}}	{{flagicon|Poland}}	5,000 soldiers ,  58 tanks and AFVs ,  16 field guns ,  armoured train No.51 "Pierwszy Marszałek"ref name=Majka1{{cite book|last=Majka|first=Jerzy|title=Brygada Motorowa p&#322;k. Maczka 10.brygada kawalerii 1937-1939|year=2007|publisher=Libra|location=Rzesz&#243;w|isbn=978-83-89183-39-2|pages=199}}&lt;/ref&gt;	3+ tanks	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	3/109 heavy artilleryref name="wrzesien.za.pl" ,  50,000 soldiers ,  498 tanks and AFVs ,  128 field gunsref name=Majka1 	70+ tanks and AFVs	https://en.wikipedia.org/wiki/Battle_of_Jordanów
Battle of Borowa Góra	Near Bełchatów, Poland	2–6 September 1939	German victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	XVI Army Corps (Wehrmacht)|XVI Panzer Corps	650 killed, 540 wounded	{{flag|Poland}}	{{flagicon|Poland}}	2nd Legions' Infantry Regiment	663 casualtiesref name="Czy&#380;ewski"{{cite book | author=Ludwik Czy&#380;ewski | title=Od G&#243;r Borowskich do Zakroczymia  | publisher=Wydawnictwo Ministerstwa Obrony Narodowej, Warsaw | year=1982 |  isbn=83-11-06741-4|language=pl}}&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Borowa_Góra
Battle of Wizna	Wizna, near Łomża, Poland	September 7–10, 1939	German victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	42,200 infantry ,  350 tanks ,  657 mortar (weapon)|mortars and howitzers ,  and aerial support	{{citation needed|date|=|October 2016}}	{{flagicon|Poland}}	{{flagicon|Poland}}	~700-1,100 infantry.ref name="Moczulski-765"Moczulski, p.765&lt;/ref&gt; ,  6 76 mm divisional gun M1902|76 mm guns ,  42 MGs ,  2 Anti-tank rifle, model 35|anti-tank rifles	716 killed,  40 captured,  40 retreated	https://en.wikipedia.org/wiki/Battle_of_Wizna
Battle of Piotrków Trybunalski	Piotrków Trybunalski, Poland	September 4–6, 1939	Polish defensive victory: Polish forces are ordered to withdraw	{{flagicon|Poland}}	{{flagicon|Poland}}		{{rp|60}}	{{Flagcountry|Nazi Germany}}	{{Flagicon|Nazi Germany|1935}}		{{rp|60}}	https://en.wikipedia.org/wiki/Battle_of_Piotrków_Trybunalski
Battle of Hel	Hel Peninsula, Pomeranian Voivodeship (1919–39)|Pomeranian Voivodeship, Second Polish Republic|Poland	9 September – 2 October 1939	German victory	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{#tag:ref|This includes the soldiers initially used at the Battle of Kępa Oksywska.|ref| name= DGW||group|=|Note}}	'''Luftwaffe''': 46–53 aircraft ,  '''German Army (Wehrmacht)|Heer''': unknown ,  '''Kriegsmarine''': ,  2 destroyers damaged, ,  1 German battleship Schleswig-Holstein|pre-dreadnought lightly damaged	{{flagicon|Poland}}	{{flagicon|Poland}}	2,800, 46 guns, 1 destroyer, 1 minelayer, 1 ORP Batory|patrol boat	Unknown human losses, 1 destroyer sunk, 1 minelayer sunk	https://en.wikipedia.org/wiki/Battle_of_Hel
Battle of the Bzura	Near Kutno, Łódź Voivodeship (1919–39)|Łódź Voivodeship, Second Polish Republic|Poland	9–19 Septemberref name=ciszal4 1939	German victory * Destruction of Armies Poznań and Pomorze	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	12 infantry divisions ,  5 armoured and motorized divisions ,  425,000 soldiersref name=ciszal4	8,000 deadref name=cbapl ,  4,000 captured ,  50 tanks ,  100 cars ,  20 artillery pieces	{{flagcountry|Second Polish Republic}}	{{flagicon|Second Polish Republic}}	8 infantry divisions ,  2–4 cavalry brigades ,  225,000 soldiersref name=ciszal4	18,000ref name=cbapl–20,000ref name=ciszal4Cisowski, Zalewski, ''Bitwa...'', p.14&lt;/ref&gt; dead, 32,000 woundedref name=cbapl ,  170,000 capturedref name=cbapl	https://en.wikipedia.org/wiki/Battle_of_the_Bzura
Battle of Tomaszów Lubelski	Near Tomaszów Lubelski, Poland	September 17–26, 1939	German victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	Unknown number of soldiers ,  +200 tanks and AFVs	Unknown	{{flag|Poland}}	{{flagicon|Poland}}	'''First Phase:''' ,  Unknown number of soldiers ,  ~80 tanks and tankettes'''Second Phase:''' ,  39,000 soldiers ,  225 cannons	Unknown	https://en.wikipedia.org/wiki/Battle_of_Tomaszów_Lubelski
Battle of Krasnobród (1939)	Krasnobród, Lublin Voivodeship	23 September 1939	Polish victory	{{flag|Poland}}	{{flagicon|Poland}}	Nowogrodek Cavalry Brigade ,  2nd Horse Artillery Division ,  2nd Horse Rifles Regiment ,  1st Border Protection Corps|KOP Cavalry Regiment	Unknown, but heavy	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	8th Infantry Division ,  Heavy East Prussian cavalry	Unknown, but heavy,,  100 men captured	https://en.wikipedia.org/wiki/Battle_of_Krasnobród_(1939)
Soviet invasion of Poland	Second Polish Republic|Poland	17 September – 6 October 1939	Soviet victory	{{flagicon|POL|1928}}	{{ubl   |Edward Rydz-Śmigły   |(Marshal of Poland)|item2_style|=|font-size: 95%;}}	{{#tag:ref|Increasing numbers of Border Protection Corps (Poland)|Border Protection Corps units, as well as Polish Army units stationed in the East during peacetime, were sent to the Polish-German border before or during the German invasion. The Border Protection Corps forces guarding the eastern border numbered approximately 20,000 men.|ref| name= "Sanford 20-24"|group|=|"Note"}}	{{#tag:ref|The figures do not take into account the approximately 2,500 prisoners of war executed in immediate reprisals or by anti-Polish Organization of Ukrainian Nationalists.|ref| name="Sanford 20-24"|group|=|"Note"}}	{{flag|Soviet Union|1923}}	{{ubl   |Kliment Voroshilov   |(Soviet order of battle for invasion of Poland in 1939|Commander-in-Chief)|item2_style|=|font-size: 95%;   |Mikhail Kovalyov   |(Belarusian Front)|item4_style|=|font-size: 95%;   |Semyon Timoshenko   |(Ukrainian Front)|item6_style|=|font-size: 95%;}}	466,516–800,000 troopsref name="PWN_KW_old"ref name="Krivosheev", 33+ divisions, 11+ brigades, 4,959 guns, 4,736 tanks3,300 aircraft	{{#tag:ref|Soviet official losses – figures provided by Krivosheev – are currently estimated at 1,475 KIA or MIA presumed dead (Ukrainian Front – 972, Belorussian Front – 503), and 2,383 WIA (Ukrainian Front – 1,741, Belorussian Front – 642). The Soviets lost approximately 150 tanks in combat of which 43 as irrecoverable losses, while hundreds more suffered technical failures.|ref| name="Krivosheev"| Sanford indicates that Polish estimates of Soviet losses are 3,000 dead and 10,000 wounded.|ref| name="Sanford 20-24"| Russian historian Igor Bunich estimates Soviet losses at 5,327 KIA or MIA without a trace and WIA.|ref| name="WIF"|group|=|"Note"}}	https://en.wikipedia.org/wiki/Soviet_invasion_of_Poland
Battle of Szack	Shatsk, Ukraine|Szack, Poland (now Ukraine)	September 28, 1939	Tactical Polish victory	File:Flag of the Soviet Union 1923.svg|25px Soviet Union	File:Flag of the Soviet Union 1923.svg|border|25px Colonel Iwan Russijanow	52nd Rifle Division	{{Citation needed|date|=|March 2007}}	File:Flag of Poland.svg|border|25px Poland	File:Flag of Poland.svg|border|25px Wilhelm Orlik-Rückemann	4,000 strong Border Protection Corps|KOP group including artillery	{{Citation needed|date|=|March 2007}}	https://en.wikipedia.org/wiki/Battle_of_Szack
