Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Attack on Mers-el-Kébir	Off Mers El Kébir, French Algeria, North Africa	3 July 1940	British victory	{{flagicon|United Kingdom}}	James SomervilleDudley Pound	1 aircraft carrier2 battleships1 battlecruiser2 light cruisers11 destroyers	6 aircraft destroyed2 dead	{{flagicon|France}}	Marcel-Bruno GensoulFrançois Darlan	4 battleships5 destroyers1 seaplane tender	{{sfn|Playfair|1959|p|=|137}}	https://en.wikipedia.org/wiki/Attack_on_Mers-el-Kébir
Greco-Italian War	Southern Balkan Peninsula	{{Age in years, months, weeks and days|month1|=|10|day1|=|28|year1|=|1940|month2|=|04|day2|=|23|year2|=|1941}}	See Greco-Italian War#Aftermath|Aftermath section&lt;!--Please do not alter this, before discussing it on the talk page.--&gt;	{{Flagcountry|Kingdom of Italy}}	{{Flagicon|Kingdom of Italy}}	87,000 rising to 565,000 men463 aircraft163 light tanks	13,755 killed50,874 wounded3,914 missing21,153 Prisoner of war|POW'''Total combat losses: 89,696'''52,108 sick12,368 frostbite cases64 aircraft (another 24 claimed)1 submarine30,000 long tons of shipping'''General total: 154,172'''	{{Flagcountry|Kingdom of Greece}}	{{Flag icon|Kingdom of Greece}}	Fewer than 260,000 rising to 430,000 men79 aircraft	{{circa|25,000}}	https://en.wikipedia.org/wiki/Greco-Italian_War
Battle of Pindus	Pindus Mountains	28 October – 13 November 1940	Kingdom of Greece|Greek victory	{{flag|Kingdom of Italy}}	Mario Girotti (officer)|Mario Girotti	{{sfn|Zizzo|2008|p|=|86}}	1,674 killed, wounded and missingref name="maidaur.blogspot.com"	{{flag|Kingdom of Greece}}	Konstantinos Davakis; Vasileios Vrachnos; Georgios Stanotas; Sokratis Dimaratos	28 October:; 2.000 men; 4 guns; ; 13 November:ref''&#919; &#921;&#964;&#945;&#955;&#953;&#954;&#942; &#917;&#953;&#963;&#946;&#959;&#955;&#942;'', &#916;&#921;&#931;, &#913;&#952;&#942;&#957;&#945;&#953; 1960, page 247&lt;/ref&gt;; 32,000 men; 114 guns	Unknown	https://en.wikipedia.org/wiki/Battle_of_Pindus
Battle of Elaia–Kalamas	Epirus (region)|Epirus	2–8 November 1940	Kingdom of Greece|Greek victory	{{flag|Kingdom of Italy}}	Ezio Rossi (XXV Army Corps)Gen. Giannini (''Ferrara'' Div.)Gen. Maglie (''Centauro'' Div.)	42,000 men23rd Inf. Div. ''Ferrara'' 6 battalions 2 battalions of blackshirts 44 guns 131st Arm. Div. ''Centauro'' 3 motorized battalions 170 light tanks 32 gunsElements 51st Inf. Div. ''Siena''Air Force:400 aircraft	'''unknown total'''partial data:28 October – 5 November:160 killed41 missing561 wounded	{{flag|Kingdom of Greece}}	{{sfn|AHD|1960|p|=|49}}	{{sfn|AHD|1960|p|=|49}}	{{sfn|AHD|1960|p|=|114}}	https://en.wikipedia.org/wiki/Battle_of_Elaia–Kalamas
Battle of Morava–Ivan	Morava mountains, south-east Albania	14–23 November 1940	Greek victory, Greek Army enters Korçë	{{flag|Kingdom of Italy|name|=|Fascist Italy}}	Gabriele Nasci	55,000 men200 guns	Unknown number killed and wounded1,000 taken prisoner	{{flag|Kingdom of Greece}}	Ioannis Pitsikas; Georgios Kosmas	70,000 men198 guns	624 killed2,348 wounded	https://en.wikipedia.org/wiki/Battle_of_Morava–Ivan
Capture of Klisura Pass	Këlcyrë Gorge, Albanian Kingdom (1939–43)|Albania	6–11 January 1941	Kingdom of Greece|Greek victory	{{flag|Kingdom of Italy}}	Ugo Cavallero			{{flag|Kingdom of Greece}}	Alexander Papagos; Dimitrios Papadopoulos (general)|Dimitrios Papadopoulos			https://en.wikipedia.org/wiki/Capture_of_Klisura_Pass
Italian Spring Offensive	Albania under Italy|Albania, south-east of Berat	9–16 March 1941	Greek victory	{{flag|Kingdom of Italy}}	Carlo Geloso	9 divisions	11,800 total	{{flag|Kingdom of Greece}}	Alexander Papagos	6 divisions	1,243 killed; 42 missing; 4,116 wounded; ; Total: 5,401	https://en.wikipedia.org/wiki/Italian_Spring_Offensive
Battle of Hill 731	Hill 731, Mount Trebeshinë, Albania	9–24 March 1941	Greek victory	{{flagicon|Greece|royal}}	Maj. Gen. Georgios Bakos (II Corps) *Maj. Gen. Vasileios Vrachnos (1st Division)*Col. Nikolaos Georgoulas (5th Regiment)			{{flagicon|Kingdom of Italy}}	Gen. Gastone Gambara (VIII Corps) *Gen. Div. Alberto D'Aponte (''Puglie'' Division)*Gen. Br. Angelico Carta (''Siena'' Division)*Gen. Br. Matteo Negro (''Bari'' Division)			https://en.wikipedia.org/wiki/Battle_of_Hill_731
Invasion of Yugoslavia	Kingdom of Yugoslavia|Yugoslavia	6–18 April 1941	Axis victory*Occupation of Yugoslavia*Partition of Yugoslavia between the Axis*Creation of pro-Axis puppet states*Continuation as a World War II in Yugoslavia|guerrilla war	{{plainlist | '''Axis Powers'''; |flag|Nazi Germany|name|=|Germany|; |flagcountry|Kingdom of Italy|; |flagicon|Hungary|1940| Kingdom of Hungary (1920–46)|Hungary; |flag|Kingdom of Romania|name|=|Romania| (minimal)}}	{{plainlist |*|flagicon|Nazi Germany| Walther von Brauchitsch*|flagicon|Nazi Germany| Maximilian von Weichs*|flagicon|Nazi Germany| Wilhelm List*|flagicon|Nazi Germany| Paul Ludwig Ewald von Kleist*|flagicon|Nazi Germany| Alexander Löhr*|flagicon|Nazi Germany| Wolfram Freiherr von Richthofen*|flagicon|Kingdom of Italy| Vittorio Ambrosio*|flagicon|Kingdom of Italy| Alessandro Pirzio Biroli*|flagicon|Hungary|1940| Elemér Gorondy-Novák }}	{{sfn|Zajac|1993|p|=|50}}	'''Germany:'''; 151 killed; 392 wounded; 15 missing; 40 aircraft shot down; '''Italy:''';  3,324 killed or wounded; 10+ aircraft shot down, 22 damaged.; '''Hungary:'''; 120 killed; 223 wounded; 13 missing; 7 aircraft shot down	{{flag|Kingdom of Yugoslavia|name|=|Yugoslavia}}	{{plainlist |*|flagicon|Kingdom of Yugoslavia| Dušan Simović*|flagicon|Kingdom of Yugoslavia| Danilo Kalafatović*|flagicon|Kingdom of Yugoslavia| Milorad Petrović*|flagicon|Kingdom of Yugoslavia| Milutin Nedić*|flagicon|Kingdom of Yugoslavia| Milan Nedić*|flagicon|Kingdom of Yugoslavia| Vladimir Cukavac*|flagicon|Kingdom of Yugoslavia| Dimitrije Živković*|flagicon|Kingdom of Yugoslavia| Borivoje Mirković }}	{{sfn|Tomasevich|1975|p|=|64}}	{{sfn|Shores|Cull|Malizia|1987|p|=|310}}	https://en.wikipedia.org/wiki/Invasion_of_Yugoslavia
Battle of Greece	Greece and southern Albania	28 October 1940 – 1 June 1941	Axis victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Collier|1971|p|=|180}}	{{sfn|Richter|1998|pp|=|595–97}}	{{flagcountry|Kingdom of Greece}}	{{flagicon|Kingdom of Greece}}	{{Sfn |Ziemke}}	{{sfn|Richter|1998|pp|=|595–97}}	https://en.wikipedia.org/wiki/Battle_of_Greece
