Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Attack on Pearl Harbor	Primarily Pearl Harbor, Hawaii Territory, U.S.	{{start date and age |1941|12|7}}	Major Japanese tactical victory; precipitated the Military history of the United States during World War II|entrance of the United States into World War II*See consequences of the attack on Pearl Harbor	{{flag|United States|1912}}	{{flagicon|United States Navy|1912}}	{{refn|USCGC|Taney|WHEC-37| |group|=|nb}}	{{refn|USS|Utah|BB-31|2| and |USS|Oglala|CM-4|2|group|=|nb}}	{{flag|Empire of Japan|name|=|Imperial Japan}}	{{flagicon|Empire of Japan|naval}}	'''Carrier Striking Task Force|Mobile Unit:'''6 aircraft carriers2 battleships2 heavy cruisers1 light cruiser9 destroyers8 tankers23 fleet submarines5 midget submarines414 aircraft	4 midget submarines sunk1 midget submarine grounded29 aircraft destroyed64 killed1 Kazuo Sakamaki|sailor capturedref{{Harvnb|Gilbert|2009|p=272}}.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor
Battle of Guam (1941)	Guam, Mariana Islands, Pacific Ocean	8–10 December 1941	Japanese victory	{{flag|United States|1912}}	{{flagicon|USA|1912}}	'''Land:'''547 Marine (military)|marines and sailors'''Sea:'''1 Minesweeper (ship)|minesweeper2 patrol boats1 cargo ship|freighter	17 killed35 wounded406 captured1 minesweeper scuttled1 patrol boat scuttled1 patrol boat captured1 freighter damaged	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	'''Land:'''5,900 infantry and marines'''Sea:'''4 heavy cruisers4 destroyers2 gunboats6 submarine chasers2 minesweepers2 Destroyer tender|tenders'''Air:'''unknown air forces	1 killed6 wounded1 aircraft destroyed	https://en.wikipedia.org/wiki/Battle_of_Guam_(1941)
Battle of Wake Island	Wake Island, U.S. territory	8–23 December 1941	Japanese pyrrhic victory	{{flagcountry|Empire of Japan}}	Shigeyoshi Inoue, Sadamichi Kajioka, Shigematsu Sakaibara, Eiji Gotō, Tamon Yamaguchi	'''First Attempt (11&nbsp;December):'''3 light cruisers 6 destroyers2 patrol boats2 troop transports'''Reinforcements arriving for Second Attempt (23&nbsp;December):''' 2 aircraft carriers2 heavy cruisers  2 destroyers  2,500 infantryrefNaval and air personnel not included.&lt;/ref&gt;	{{#tag:ref|USMC History estimates 21 aircraft shot down and 51 aircraft damaged by flak.|ref| name="The Defense of Wake"|{{cite web|title=The Defense of Wake|url=http://www.ibiblio.org/hyperwar/USMC/Wake/USMC-M-Wake-III.html|website=Ibiblio.org/}}||group|=|Note}}	{{flag|United States|1912}}	{{POW}}	449 USMC personnel consisting of: *399 infantry of the 1st Defense Battalion*50 VMF-211|det. VMF-2116 coastal artillery pieces, 12 aircraft, 12 anti-aircraft guns68 U.S. Navy personnel5 U.S. Army personnel	52 killed49 wounded2 missing12 aircraft lostrefMartin Gilbert, the Second World War (1989) pg 282&lt;/ref&gt;433 capturedref20 later died in captivity&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Wake_Island
Battle of Dutch Harbor	Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army|Dutch Harbor Naval Operating Base and U.S. Army Fort Mears,, Dutch Harbor, Amaknak Island,, Aleutian Islands archipelago,, Alaska	3–4 June 1942	Japanese tactical victory	{{flag|United States|1912}}	Robert Alfred TheobaldSimon Bolivar Buckner, Jr.Archibald V. Arnold	37th Infantry Regiment (United States)|37th Infantry Regiment206th Field Artillery Regiment (United States)|206th Coast Artillery (AA)1 search light battery 6 anti-aircraft batteriesU.S. Marines|marines30 fighter aircraft|fighters	78 deadunknown wounded3 captured14 aircraft destroyedFort Mears moderately damagedDutch Harbor moderately damaged, 1 barracks ship destroyed	{{flagcountry|Empire of Japan}}	Kakuji Kakuta	2 light carrier|aircraft carriers3 cruisers5 destroyers40 fighters21 torpedo bombers21 dive bombers4 surveillance aircraft|reconnaissance aircraft	10 deadunknown wounded5 captured7 aircraft destroyedrefhttps://books.google.com.pe/books?id=p01bFVagOJYC&amp;pg=PA8&amp;lpg=PA8&amp;dq=Aleutian+Warriors+225+aircraft&amp;source=bl&amp;ots=njeUWFAgMi&amp;sig=sOwUK-bMKiwtQb-osKTOVuMQzvo&amp;hl=es-419&amp;sa=X&amp;ved=0ahUKEwjm3vz6g4fTAhVDQCYKHTAdDdcQ6AEIIDAB#v=onepage&amp;q=losses&amp;f=false Alaska at War, 1941&#8211;1945: The Forgotten War Remembered  ''p.394'']&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Dutch_Harbor
Japanese occupation of Kiska	Kiska, Aleutian Islands	6 June 1942 – 28 July 1943	Japanese victory	{{flag|United States|1912}}	Lieutenant|Lt. Mulls(Not present during initial landing)refhttp://www.hlswilliwaw.com/aleutians/Aleutians/html/wwii_kiska_navy_crew_listing.htm&lt;/ref&gt;	10-man weather station, 1-6 dogs, 3 aircraftrefhttp://www.hlswilliwaw.com/aleutians/Aleutians/html/wwii_kiska_navy_crew_listing.htm&lt;/ref&gt;	2 killed7 captured, 1 escaped (later surrendered)	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan}}	+500 Japanese Special Naval Landing Forces|Special Naval Landing Forces (Initial force)5,183-5,400 civilians and soldiers (Occupation)refhttp://www.pacificwrecks.com/provinces/alaska_kiska.html&lt;/ref&gt;	No casualties during initial capture, or during occupation/withdraw.	https://en.wikipedia.org/wiki/Japanese_occupation_of_Kiska
Japanese occupation of Attu	Attu Island|Attu, Aleutian Islands, Pacific Ocean	6 June 1942 – 30 May 1943	Japanese occupation commences.	{{flag|United States|1912}}	N/A	N/A	1 civilian killed46 civilians captured	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	1,140 - 2,900	unknown	https://en.wikipedia.org/wiki/Japanese_occupation_of_Attu
Battle of Hong Kong	British Hong Kong|Hong Kong	8–25 December 1941	Japanese victory&lt;!--Template:Infobox military conflict see result criterion for appropriate terms--&gt;	{{flag|United Kingdom}}	{{flagicon|UK}}	14,564 troops1 destroyer1 gunboat	{{efn|Figures taken from Christopher Maltby, the Commander British Forces in Hong Kong|sfn|Banham|2005|p|=|317}}	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	29,700 troops47 planes1 cruiser3 destroyers4 torpedo boats3 gunboats	{{sfn|Ishiwari|1956|pp|=|47–48}}	https://en.wikipedia.org/wiki/Battle_of_Hong_Kong
Philippines Campaign (1941–42)	Philippines	8 December 1941 – 8 May 1942	Japanese victory	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	129,435 troopsrefhttp://www.history.army.mil/books/wwii/MacArthur%20Reports/MacArthur%20V1/Images/p_002.jpg Reports of General MacArthur] Order of Battle plate. The total includes all elements of divisions assigned to the 14th Army at some point in the campaign, and replacements. The maximum strength of Japanese ground forces was approx. 100,000. The total does not include 12000+ Army air force personnel, whose totals were drastically reduced after 1 January 1942.&lt;/ref&gt;90 tanks541 aircraft	Japanese source:'''11,225''' 4,130 killed 287 missing 6,808 woundedref{{cite book|title=Senshi S&#333;sho (&#25126;&#21490;&#21474;&#26360;)|publisher=Asagumo Shimbunsha|language=Japanese|volume=2|year=1966}}&lt;/ref&gt;----Allied estimate: '''17,000–19,000'''ref{{cite book |date=3 October 2003 |title=Philippine Islands |url=http://www.history.army.mil/brochures/pi/PI.htm |publisher=Center of Military History, U.S. Army |page=19 |quote=Since 6 January the Japanese had suffered 7,000 battle casualties, with another 10,000 to 12,000 men dying of disease. }}&lt;/ref&gt;	{{flag|United States|1912}}	{{flagicon|USA|1912}}	151,000 troopsrefhttp://www.history.army.mil/books/wwii/5-2/5-2_2.htm#p25 The Fall of the Philippines] p. 18. The Philippine Army totalled 120,000 and the Army of the United States 31,000.&lt;/ref&gt;, 108 M3 Stuart|tanksref name="The Fall of the Philippines"http://www.history.army.mil/books/wwii/5-2/5-2_3.htm#p32 ''The Fall of the Philippines''], p.33.&lt;/ref&gt;, 277 aircraftrefhttp://www.history.army.mil/books/wwii/5-2/5-2_3.htm#p32 ''The Fall of the Philippines''], p.42. Total includes 175 fighters and 74 bombers.&lt;/ref&gt;	'''146,000''' 25,000 killed 21,000 wounded 100,000 capturedrefhttps://books.google.com/books?id=400EAAAAMBAJ&amp;printsec=frontcover&amp;source=gbs_hp#v=onepage&amp;q=&amp;f=false Life Magazine gives a total of 36,583 US/Filipino troops captured 9 April 1942]&lt;/ref&gt;	https://en.wikipedia.org/wiki/Philippines_Campaign_(1941–42)
Battle of Bataan	Bataan Peninsula near Manila Bay in Luzon|Luzon Island, Philippines	7 January – 9 April 1942, (3 months and 2 days)	Japanese victory, Bataan Death March	{{flag|United States|1912}}	{{flagicon|United States|1912}}	120,000 U.S. and Filipino troops	'''105,000''', 10,000 killed,20,000 wounded,76,000 imprisonedref name=imprisoned{{cite web |url=https://www.pbs.org/thewar/detail_5209.htm |title=The Philippines (Bataan) (1942) |author=&lt;!--Not stated--&gt; |date=2005 |website=The War |publisher=WETA |access-date= |quote= The 76,000 prisoners of war of the battle for Bataan - some 64,000 Filipino soldiers and 12,000 U.S. soldiers - then were forced to endure what came to be known as the Bataan Death March as they were moved into captivity.}}&lt;br/&gt;{{cite web |url=https://www.britannica.com/event/Bataan-Death-March |title=Bataan Death March |author=Elizabeth M. Norman |author2=Michael Norman |date=6 March 2017 |website=Encyclop&#230;dia Britannica |access-date= |quote=Bataan Death March, march in the Philippines of some 66 miles (106 km) that 76,000 prisoners of war (66,000 Filipinos, 10,000 U.S.) were forced by the Japanese military to endure in April 1942, during the early stages of World War II. }}&lt;br/&gt;{{cite news |url=http://news.mb.com.ph/2017/04/09/u-s-salutes-filipino-vets/ |title=U.S. salutes Filipino vets |author=Roy C. Mabasa |date=9 April 2017 |work=Manila Bulletin |access-date=9 April 2017 }}&lt;br/&gt;{{cite book|author=Eric Morris|title=Corregidor: The American Alamo of World War II|url=https://books.google.com/books?id=pA_OZODFKmkC&amp;pg=PA405|date=5 September 2000|publisher=Cooper Square Press|isbn=978-1-4616-6092-7|page=405}}&lt;br/&gt;{{cite book|author=Oliver L. North|title=War Stories II: Heroism in the Pacific|url=https://books.google.com/books?id=sgYHvMAgSyAC&amp;pg=PA326|date=28 March 2012|publisher=Regnery Publishing|isbn=978-1-59698-305-2|page=326}}&lt;/ref&gt;	{{flag|Empire of Japan|name|=|Japan}}	{{flagicon|Empire of Japan|name|=|Japan}}	75,000 Japanese troops	'''8,406'''ref{{cite book|title=Senshi S&#333;sho (&#25126;&#21490;&#21474;&#26360;)|publisher=Asagumo Shimbunsha|language=Japanese|volume=2|year=1966}}&lt;/ref&gt;-'''22,250'''ref{{cite book|author=Irvin Alexander|title=Surviving Bataan and Beyond: Colonel Irvin Alexander's Odyssey as a Japanese Prisoner of War|url=https://books.google.com/books?id=aWfqFW_OFmQC&amp;pg=PA272|date=April 2005|publisher=Stackpole Books|isbn=978-0-8117-3248-2|page=272}}&lt;br/&gt;{{cite book|author=Yuma Totani|title=Justice in Asia and the Pacific Region, 1945-1952|url=https://books.google.com/books?id=3RdoBgAAQBAJ&amp;pg=PA25|date=16 February 2015|publisher=Cambridge University Press|isbn=978-1-107-08762-0|page=25}}&lt;/ref&gt;, 3,107 killed,230 missing, 5,069 wounded,	https://en.wikipedia.org/wiki/Battle_of_Bataan
Battle of Corregidor	Corregidor island in Manila Bay, Luzon Island, Philippines	May 5–6, 1942	Japanese victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	13,000 U.S. and Filipino troops, 2 gunboats, and 1 minesweeper	800 killed1,000 wounded11,000 POWs1 gunboat sunk1 gunboat scuttled1 minesweeper scuttled	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan}}	75,000 Japanese troops	900 killed1,200 wounded	https://en.wikipedia.org/wiki/Battle_of_Corregidor
