Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Japanese invasion of French Indochina	French Indochina	22–26 September 1940	Japanese victory	{{flag|Empire of Japan|name|=|Japan}}	{{flagicon|Japan}}	36,000 men	1,000 killed and wounded	{{flag|Vichy France|name|=|Vichy France}}	{{flagicon|France}}	3,000 men	824 killed	https://en.wikipedia.org/wiki/Japanese_invasion_of_French_Indochina
Franco-Thai War	French Indochina	October 1940–9 May 1941	IndecisiverefTucker, World War II: The Definitive Encyclopedia and Document Collection p. 649&lt;/ref&gt;* Japanese-mediated ceasefirerefFall, p.22. "On the seas, one old French cruiser sank one-third of the whole Thai fleet ...,Japan, seeing that the war was turning against its pupil and ally, imposed its "mediation" between the two parties."&lt;/ref&gt;	{{flag|Vichy France}}	{{flagicon|Vichy France}}	12,000 regulars, 38,000 colonials, 20 light tanks, ~100 aircraft, 1 light cruiser, 4 avisos (sloop)	'''Land:'''321 killed or wounded, 178 missing, 222 captured, 22 aircraft destroyed'''Sea:'''11 killed1 light cruiser damaged	{{flag|Thailand}}	{{flagicon|Thailand}}	60,000 regulars, 134 tanks, ~140 aircraftref name="Royal Thai Air Force 1976", 2 coastal defence ships, 12 torpedo boats, 4 submarines	'''Land:'''54 killedref name="Sorasanya Phaengspha 2002"Sorasanya Phaengspha (2002) The Indochina War: Thailand Fights France. Sarakadee Press.&lt;/ref&gt;, 307 wounded, 21 captured, 8–13 aircraft destroyed'''Sea:'''36 killed2 torpedo boats sunk1 coastal defense ship grounded	https://en.wikipedia.org/wiki/Franco-Thai_War
Battle of Ko Chang	Gulf of Thailand	17 January 1941	{{#tag:ref|The French destroyed two torpedo boats and disabled a coastal defence ship, approximately one third of the Thai Navy. However, the Thai argue that since the French didn't proceed to bombard their army along the coast, they had had successfully repelled the attack (albeit at a heavy cost), thus giving them a strategic victory.|ref| name= NSP|| Even though the French force chose not to immediately join in the land conflict, they were certainly clear to do so. Before they could, the Japanese intervened, fearing that the war would turn sour for their Thai allies. In the end, the French were forced to sign a treaty that respected Thai territorial claims. This sudden end to the war stopped Thai incursion into Indochina, but also cut short the French's attempt to mount a full counter-attack.|group|=|Note}}	{{flagicon|France}}	{{flagicon|France}}	1 light cruiser4 avisos9 aircraft	11 killed, 1 light cruiser damaged, 1 aircraft destroyedref name=NSPhttp://www.navy.mi.th/newwww/document/history/history_rtn/content4_3.php The Naval Battle at Ko Chang] navy.mi.th&lt;/ref&gt;	{{flagicon|Thailand}}	{{flagicon|Thailand|naval}}	1 Coastal defence ship2 torpedo boats, Unknown number of aircraft	{{#tag:ref|HTMS ''Thonburi'' later capsized due to battle damage before being refloated and repaired.|group|=|Note}}	https://en.wikipedia.org/wiki/Battle_of_Ko_Chang
Japanese invasion of Thailand	Thailand	8 December 1941	Ceasefire*Thai alliance with Japan*Thailand declares war on the Allies of World War II|Allied Powers	{{flag|Thailand|name|=|Thailand}}	{{flagicon|Thailand}}	Royal Thai Armed Forces		{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	Fifteenth Army (Japan)|15th armyTwenty-Fifth Army (Japan)|25th army2nd Fleet (Imperial Japanese Navy)|2nd fleet navy		https://en.wikipedia.org/wiki/Japanese_invasion_of_Thailand
Battle of Prachuap Khiri Khan	Prachuap Khiri Khan, Thailand	8 December 1941	Ceasefire	{{flag|Thailand|name|=|Kingdom of Thailand}}	Prawat Chumsai		42 killed, 27 wounded, 3 aircraft destroyed	{{flag|Empire of Japan}}	Kisoyoshi Utsunomiya		417 killed, 300+ wounded	https://en.wikipedia.org/wiki/Battle_of_Prachuap_Khiri_Khan
Malayan Campaign	British Malaya	8 December 1941&nbsp;– 31 January 1942 (1 month, and 23 days)	Japanese victoryref{{cite book|last1=Stille|first1=Mark|title=Malaya and Singapore 1941&#8211;42: The fall of Britain&#8217;s empire in the East|date=2016|publisher=Bloomsbury Publishing|isbn=9781472811240|page=15|url=https://books.google.com/books?id=gHe9DAAAQBAJ&amp;printsec=frontcover#v=onepage&amp;q=Decisive%20Japanese%20victory&amp;f=false|accessdate=22 October 2017|language=en}}&lt;/ref&gt;	{{flag|British Empire}}	{{flagicon|UK}}	{{efn|Between Singapore and Malaya, the Japanese captured 300 field guns, 180 mortars/howitzers, 100 anti-aircraft guns, 54 fortress guns, 108 1-pounder guns (likely a typo meant to say 2-pounder), and, on the mainland, another 330 guns of unspecified type. Kevin Blackburn, Karl Hack. "Did Singapore Have to Fall?: Churchill and the Impregnable Fortress". Routledge. November 1, 2003. Page 193 gives a total of 225 25-pounders and 18-pounders for the campaign, but this number excludes QF 4.5-inch howitzer|4.5-inch and QF 3.7-inch mountain howitzer|3.7-inch howitzers and 75mm field guns, as well as fortress guns. Page 74 gives a total of 226 for British artillery pieces during the siege of Singapore itself, including fortress guns (172 without them).}}	'''138,708'''7,500 killed10,000 wounded130,000 capturedref name=Wigmore382Wigmore 1957, p. 382&lt;/ref&gt;	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	70,000 troops568 aircraft, 440+ artillery piecesrefAllen, Louis. ''Singapore 1941&#8211;1942: Revised Edition'', Routledge, 2013. p. 169&lt;/ref&gt;, 200 tanks, 3,000+ trucksrefToland, John. ''The Rising Sun'' New York: The Modern Library, 2003. pp. 272&lt;/ref&gt;	'''9,657''', 3,507 killed, 6,150 woundedrefTsuji (1960) p. 220. 1,793 dead and 2,772 wounded in Malaya; 1,714 dead and 3,378 wounded at Singapore.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Malayan_Campaign
Japanese invasion of Malaya	British Malaya|Malaya	8 December 1941	Japanese victory	{{flagicon|United Kingdom}}	{{flagicon|United Kingdom}}	N/A	68 killed360 wounded37 missingref name="Alan Warren, page 64"Alan Warren (2007), page 64&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	1 light cruiser4 destroyers2 minesweepers1 submarine chaser3 troopshipsref name="SENDAI"{{citation|last1=Hackett|first1=Bob|last2=Kingsepp|first2=Sander |title=HIJMS SENDAI: Tabular Record of Movement|url = http://www.combinedfleet.com/sendai_t.htm|work=Imperial Japanese Navy Page|accessdate= 4 January 2011}}&lt;/ref&gt;5,300 infantry	3 troopships damagedref name="SENDAI"320 killed538 woundedref name="Alan Warren, page 64"refRahill, Siti, (Kyodo News) "http://search.japantimes.co.jp/cgi-bin/nn20091210f2.html Remembering the war's first battle]", ''Japan Times'', 10 December 2009, p. 3.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Japanese_invasion_of_Malaya
Bombing of Singapore (1941)	Singapore	8 December 1941	* First Japanese attack on Singapore* No significant tactical or strategic victory	{{flag|United Kingdom}}		Various number of anti-aircraft guns, 1 battleship, 1 battlecruiser	61 killed, 700 wounded	{{flagcountry|Empire of Japan}}		17 aircraftref name="First air raid on Singapore"{{citation |title = First bomb raid on Singapore|url = http://infopedia.nl.sg/articles/SIP_7_2005-01-25.html|publisher = Chua, Alvin|date = 25 November 2014}}&lt;/ref&gt;	N/A	https://en.wikipedia.org/wiki/Bombing_of_Singapore_(1941)
Operation Krohcol	Malaysia Federal Route 77|Kroh-Pattani Road, Thailand-Federated Malay States|FMS border	8–11 December 1941	Japanese-Thai victory	{{flag|Empire of Japan}}	{{flagicon|Thailand}}			{{flag|British Empire}}	{{flagicon|United Kingdom}}			https://en.wikipedia.org/wiki/Operation_Krohcol
Sinking of Prince of Wales and Repulse	South China Sea	10 December 1941	Japanese victory	{{flag|United Kingdom}}	{{KIA}}	1 battleship, 1 battlecruiser, 4 destroyers	1 battleship sunk, 1 battlecruiser sunk, 840 killed	{{flagcountry|Empire of Japan}}	Niichi Nakanishi, Shichizo Miyauchi, Hachiro Shoji	88 aircraft , (34 torpedo aircraft,, 51 level bombers,, 3 scouting aircraft)	4 aircraft destroyed,, 28 damagedref name="Paul S. Dull, 2007"Paul S. Dull (2007), page 40&lt;/ref&gt;, 2 seaplanes missing, 18 killedref3 aircraft were shot down in the attack, 1 crash-landed later, and 2 scout aircraft failed to return from their missions.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Sinking_of_Prince_of_Wales_and_Repulse
