Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Saar Offensive	Saarland, Germany	7–16 September 1939	Unforced French withdrawal	{{flagicon|France}}	{{flagicon|France}}	40 Divisions400 tanks4,700 artillery	-2,000 killed, wounded and sickref name=fmodhttp://www.cheminsdememoire.gouv.fr/en/la--drole--de--guerre--39--40 ''La dr&#244;le de guerre''] Minister of Defence (France)|Minist&#233;re de la Def&#233;nse&lt;/ref&gt;-	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	22 Divisionsless than 100 artillery	-196 dead114 missing356 woundedref name=wilhttps://archive.org/stream/BerlinDiary/49340886--Berlin--Diary--The--Journal--of--a--Foreign--Correspondent--1934--1941--William--L--Shirer--1942--632pgs--POL--sml_djvu.txt "Berlin Diary"] by William Shirer, 20 October 1939&lt;/ref&gt;11 aircraftref name=AP-	https://en.wikipedia.org/wiki/Saar_Offensive
Operation Weserübung	Denmark, Norway	9 April – 10 June 1940 (2 months, and 1 day)	German victory* Occupation Occupation of Denmark|of Denmark and German occupation of Norway|Norway	{{plainlist|* |flagicon|Nazi Germany| Nazi Germany|Germany}}	{{plainlist|* |flagicon|Nazi Germany| Nikolaus von Falkenhorst* |flagicon|Nazi Germany| Leonhard Kaupisch* |flagicon|Nazi Germany| Eduard Dietl* |flagicon|Nazi Germany| Hans Ferdinand Geisler* |flagicon|Nazi Germany| Alfred Saalwächter}}	{{plainlist|* 9 divisions* 1 artillery battalion* 1 motorized rifle brigade* '''Total: 120,000'''}}	-{{plainlist|* '''''German Army (Wehrmacht)|Heer''''':* '''''Kriegsmarine''''':* 1 heavy cruiser* 2 light cruisers* 10 destroyers* various U--boats, transports and smaller warships* '''''Luftwaffe''''': 1,130 air crew* 341 KIA* 448 MIA|sfn|Hooton|2007|p|=|43|* '''Total:'''* 5,636 KIA or MIA* 341 WIA }}-	-{{plainlist|* |flag|Norway|* |flag|Denmark|Surrendered|* |flag|United Kingdom|* |flagicon|France| French Third Republic|France* |flagicon|Poland| Polish government--in--exile}}-	{{plainlist|* |flagicon|Norway| Kristian Laake* |flagicon|Norway| Otto Ruge* |flagicon|Norway| Carl Gustav Fleischer* |flagicon|Denmark| William Wain Prior* |flagicon|United Kingdom| Adrian Carton de Wiart* |flagicon|United Kingdom| Bernard Paget|Charles Tolver Paget* |flagicon|United Kingdom| Pierse Joseph Mackesy}}	{{plainlist|* '''Norway:''' 6 divisions: ~60,000* '''Denmark:''' 2 divisions: ~14,500* '''Allies''' ~35,000* '''Total: ~109,500'''}}	{{plainlist|* '''Royal Norwegian Navy & Army:* 1,335 KIA* ? MIA* '''Denmark:'''* 26 KIA and 23 WIA|sfn|Zabecki|2014|p|=|323|* '''Allies:* 4,765 KIA* '''Total:* 6,116 KIA}}	https://en.wikipedia.org/wiki/Operation_Weserübung
German invasion of Denmark (1940)	Denmark	9 April 1940	German victory	{{flagicon|Denmark}}	{{flagicon|Denmark}}	{{sfn|Dildy|2007|p|=|22}}	{{sfn|Zabecki|2014|p|=|323}}	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Dildy|2007|pp|=|18,28}}	{{sfn|Hooton|2007|p|=|31}}	https://en.wikipedia.org/wiki/German_invasion_of_Denmark_(1940)
Norwegian Campaign	Norway	9 April – 10 June 1940 (62 days)	German victory*German occupation of Norway|Occupation of Norway by Nazi Germany *Evacuation of the Norwegian government and royal family*Establishment of theNorwegian Armed Forces in exile*Reichskommissariat Norwegen	{{flagicon|Nazi Germany|size|=|22px}}	{{flagicon|Nazi Germany|size|=|22px}}	c. 100,0007 divisions1 ''Fallschirmjäger'' battalion	-'''Official German figures:'''5,296(1,317 killed on land,2,375 lost at sea,1,604 wounded)'''Material losses:'''1 heavy cruiser2 light cruisers10 destroyers6 U--boats2 torpedo boats15 light naval units21 transports/merchant ships90–240 aircraft-	{{flag|Norway|size|=|22px}}	{{flagicon|Norway|size|=|22px}}	'''Total:'''c. 93,000'''Norway:'''6 divisions(c. 55,000 combatants involved in the fighting)'''Allies:'''c. 38,000	'''Total:'''c. 6,602'''British:'''On land: 1,869 killed, wounded and missingAt sea:c. 2,500 lost1 aircraft carrier2 cruisers7 destroyers1 submarine112 aircraft'''French and Polish:'''533 killed, wounded and missing2 destroyers2 submarines'''Norwegian:'''c. 1,700 total, of whom 860 were killed107 naval ships sunk or capturedc. 70 merchant ships and transports sunk (combined Norwegian/Allied total)	https://en.wikipedia.org/wiki/Norwegian_Campaign
Battle of the Netherlands	Netherlands	10–14 May 194010–17 May 1940 (Zealand)	-Decisive German victory* German occupation of the Netherlands* Creation of Reichskommissariat Niederlande* Removal of Dutch military presence in the continental European Theater (World War II)|European Theater.* The Dutch government Dutch government--in--exile|goes into exile in the United Kingdom.-	{{flag|Netherlands}}	{{flagicon|Netherlands}}	-9 divisions700 gunsrefGoossens, Dutch armament: Artillery, http://www.waroverholland.nl/index.php?page=artillery waroverholland.nl]&lt;/ref&gt;1 tank5 tankettes32 armoured carsrefGoossens, Dutch armament: Miscellaneous, http://www.waroverholland.nl/index.php?page=miscellaneous--2 waroverholland.nl]&lt;/ref&gt;145 aircraftrefGoossens, Dutch armament: Military airplanes, http://www.waroverholland.nl/index.php?page=military--airplanes waroverholland.nl]&lt;/ref&gt;Total: 280,000 men-	2332 KIA (Dutch Army)ref name="waroverholland"Goossens, Balance Sheet, http://www.waroverholland.nl/index.php?page=balance waroverholland.nl]&lt;/ref&gt;7000 woundedref name="waroverholland"216 French KIAref name="waroverholland"43 British KIAref name="waroverholland"Over 2000 civilians killedref name="waroverholland"	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	22 divisions1378 guns759 tanks830 aircraftrefHooton 2007, p. 48&lt;/ref&gt;6 armoured trainsrefDe Jong, Het Koninkrijk, Staatsuitgeverij, 1971&lt;/ref&gt;Total: 750,000 men	-2032 KIAref name="waroverholland"6000–7000 woundedref name="waroverholland"4 armoured trainsref name= french{{cite book| last = Kaufmann| first = J. E.| last2 = Kaufmann| first2 = H. W.| title = Hitler's Blitzkrieg Campaigns: The Invasion And Defense Of Western Europe, 1939&#8211;1940| publisher = Da Capo Press| url = https://books.google.com/books?id=65--v0wkrWYEC&amp;dq=| date = 2 October 2007| pages = 191| isbn = 9780306816918}}&lt;/ref&gt;225–275 aircraft total lossref name="waroverholland"1350 prisoners to Englandref name="waroverholland"-	https://en.wikipedia.org/wiki/Battle_of_the_Netherlands
Battle for The Hague	The Hague, the Netherlands, and the surrounding area	10 May 1940	-Tactical Dutch victoryrefBattle for the Hague 1940: The First Great Airborne Operation in History {{ISBN|9059113071}}&lt;/ref&gt;refhttp://filmdoc.nl/mei--1940--de--verloren--overwinning--de--slag--om--den--haag/&lt;/ref&gt;refDe Slag Om De Residentie {{ISBN|9059111389}}&lt;/ref&gt;*German operational failure*German air transport capabilities significantly damaged-	{{flag|Netherlands}}	{{Flagicon|Netherlands}}	11,100 soldiers (3 divisions)2 armored car squads, 4 bombers	515 killed, 1 armored car damagedrefAmersfoort (2005), p. 192&lt;/ref&gt;	{{flagcountry|Nazi Germany}}	{{Flagicon|Nazi Germany}}	3,000 paratroopers	134–400 killed (see Battle for the Hague#Casualties|casualties)700 wounded1,745 captured125 transport aircraft lost 47 transport aircraft damagedref name="Hooton07"E.R Hooton 2007 Vol. 2, p. 50.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_for_The_Hague
Battle of Rotterdam	Rotterdam, Netherlands, and the surrounding area	10–14 May 1940	German victory	{{flag|Netherlands}}	{{flagicon|Netherlands}}	7,000 soldiers12 artillery pieces	185 killedref name="Dutch History Site"	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	1,000 soldiers	123 killedref name="Dutch History Site"refThe exact number of German casualties in Rotterdam is unknown, due to the listing for KIA in Rotterdam and Waalhaven being combined at 123.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Rotterdam
Battle of Mill	Mill, North Brabant|Mill, the Netherlands	10–11 May 1940	German victory	{{flagicon|Netherlands}}	{{flagicon|Netherlands}}	~2,000 troops	30 killed  50 wounded	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	~256th Infantry Division (Wehrmacht)|30,000 soldiers, 1 armored train, 1 troop train, 37 Junkers Ju 88|bombers	500+ killed and wounded1 armored train derailed, 1 troop train destroyed	https://en.wikipedia.org/wiki/Battle_of_Mill
Battle of Maastricht	Maastricht, Netherlands, and the surrounding area	10 May 1940	German victory	{{flagicon|Netherlands}}	{{flagicon|Netherlands}}	750 soldiers	47 killed	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	7th Flieger Division|7. ''Fliegerdivision''4th Panzer Division (Wehrmacht)|4. ''Panzerdivision''343 tanks	186 killed9 armored cars destroyed9 tanks destroyed10 aircraft shot down	https://en.wikipedia.org/wiki/Battle_of_Maastricht
Battle of Zeeland	Dutch province of Zeeland	10–18 May 1940	German victory	{{flagicon|Netherlands}}	{{flagicon|Netherlands}}	10,000 Dutch  15,000 French	'''Dutch:''' 38 KIA  115~ Wounded  Remainder Captured or Escaped to Safety  '''French:''' 229 KIA  700~ Wounded  3,000~ Captured	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	7500	97 KIA  300~ Wounded	https://en.wikipedia.org/wiki/Battle_of_Zeeland
