Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
{{flagicon|British Empire}},{{flagicon|United Kingdom}},,,{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},,
,,,,,,,
{{flag|United Kingdom}},{{flagicon|United Kingdom}},1 reinforced brigade205 aircraftnaval support,40 killed,{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},Roughly 4 Division (military)|divisions300 aircraft,120 killed410 wounded
{{flag|United Kingdom|abbr|=|on}},"Archibald Wavell, 1st Earl Wavell|Archibald WavellHenry Maitland WilsonRichard O'ConnorIven Mackay","36,000 soldiers120 guns275 tanks142 aircraft","500 killed1,373 wounded55 missing26 aircraft",{{flagicon|Italy|1861}},{{KIA}},"150,000 soldiers1,600 guns600 tankettes and tanks331 aircraft","5,500+ killed10,000 wounded133,298 captured420 tanks845 guns564 aircraft (incl. reinforcements)"
{{flagicon|United Kingdom}},Richard O'Connor Reginald Savory,"5,000 soldiers47 tanks",56 killed27 tanks disabled/broken down,{{flagicon|Kingdom of Italy}},{{KIA}},"4,100 soldiers23 tanks","819 killed1,338 wounded2,000 prisoners28 tanks"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"36,000 soldiers120 guns275 tanks142 aircraft",624 soldiers,{{flagicon|Italy|1861}},{{flagicon|Kingdom of Italy}},"60,000 soldiers250 guns120 tanks331 aircraft","{{circa|1,000}}"
{{UK}},{{flagicon|Australia}},2 mechanised cavalry squadrons1 augmented infantry battalion,"17 killed, 77 wounded (final assault only)",{{flagicon|Italy|1861}},{{flagicon|Kingdom of Italy}},"2,100 Italians","250 killed1,300 prisoners26 field guns"
{{Plainlist|* |flag|Australia|* |flag|United Kingdom|}},{{flagicon|Australia}},"16,000ref{{harvnb|Stockings|2009|p=3}}&lt;/ref&gt;","130 killed, 326 woundedref name=""Long, p. 203""{{harvnb|Long|1952|p=203}}&lt;/ref&gt;",{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},"45,000ref name=""Long, p. 199""{{harvnb|Long|1952|p=199}}&lt;/ref&gt;","1,703 killed, 3,740 wounded, 36,000 capturedref name=""Stockings, p. 276""{{harvnb|Stockings|2009|p=276}}&lt;/ref&gt;"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},145 tanksUnspecified number of guns,7 tanks,{{flagicon|Italy|1861}},{{flagicon|Italy|1861}},"129 tanks25 tankettes84 guns5,000 men",9 tanks
{{flagicon|Free French}},{{flagicon|Free French}},1 Free French Forces|FFF Battalion (350 men)1 LRDG (76 men)60 trucks,4 killed21 wounded,{{flagicon|Italy|1861}},{{flagicon|Kingdom of Italy}},2 Askari|Italian Askari Company (310 men)1 Auto-Saharan Company (120 men)20 trucks4 aircraft,3 killed4 wounded282 captured3 aircraft destroyed
{{flagicon|UK}},Archibald Wavell Richard O'Connor Michael O'Moore Creagh&lt;!--Pls read Wikipedia:Manual of Style/Icons#Icons|Icons on when not to add flags--&gt;,Western Desert Force (XIII Corps (United Kingdom)|XIII Corps from January 1941),"part of 1,9289 December 1940 – 9 February 1941",{{flagicon|Italy|1861}},{{KIA}},Tenth Army (Italy)|10th Army,25000
{{plainlist|* |flagcountry|Nazi Germany|1935|* |flagcountry|Kingdom of Italy}},{{plainlist|*  Erwin Rommel*  Italo Gariboldi}},{{plainlist|* elements of 2 German divisions* elements of 5 Italian divisions}},103–107 tanks (includes damaged and returned to service),{{plainlist |* |flag|United Kingdom|** |flag|British Raj|* |flag|Australia|}},"{{plainlist|*  Archibald Wavell, 1st Earl Wavell|Archibald Wavell*  Philip Neame |POW|}}",{{plainlist|* 1 division* 3 brigades* 1 armoured brigade (understrength)}},"{{plainlist|* 1,760 POWs* |circa|100| percent tank losses}}"
