Engagement	Location	Date	Casualties 1	Casualties 2	Result
Battle of the Atlantic	[[Atlantic Ocean]], [[Rio de la Plata]], [[North Sea]], [[Irish Sea]], [[Labrador Sea]], [[Gulf of St. Lawrence]], [[Caribbean Sea]], [[Gulf of Mexico]], [[Outer Banks]], [[Arctic Ocean]]	{{Age in years, months, weeks and days|month1|=|09|day1|=|03|year1|=|1939|month2|=|05|day2|=|08|year2|=|1945}}	36,200 sailors killed<ext><name>ref</name><attr> name="White 2008 2"</attr><inner>{{cite book | title = Bitter Ocean: The Battle of the Atlantic, 1939&#8211;1945 | last = White | first = David | publisher = Simon &amp; Schuster | year = 2008 | page = 2 | isbn = 978-0-7432-2930-2 | location = New York, United States | ref = harv }}</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="Bennett 2007 301"</attr><inner>{{cite book| title = America: The Last Best Hope, Volume 2: From a World at War to the Triumph of Freedom 1914&#8211;1989 | last = Bennett |first = William J | authorlink = William J. Bennett |publisher = Nelson Current | year =  2007 |page=301 |isbn = 978-1-59555-057-6 | oclc = |location = United States }}</inner><close>&lt;/ref&gt;</close></ext> 36,000 merchant seamen killed<ext><name>ref</name><attr> name="White 2008 2"</attr></ext><ext><name>ref</name><attr> name="Bennett 2007 301"</attr></ext> 3,500 merchant vessels 175 warships 741 RAF Coastal Command Aircraft lost in anti-submarine sorties<ext><name>ref</name><attr/><inner>{{harvnb|Bowyer|1979|p=158}}</inner><close>&lt;/ref&gt;</close></ext>	{{flagicon|Nazi Germany|1935}}	Allied victory	
Battle of the River Plate	Off the [[Rio de la Plata|River Plate]] estuary in [[Argentina]] and [[Uruguay]], [[South Atlantic]]	13 December 1939	One ''Panzerschiff'' scuttled 36 dead 60 wounded	One heavy cruiser badly damaged two light cruisers damaged 72 dead, (''Achilles'' 4, ''Ajax'' 7,, ''Exeter'' 61) 28 wounded	British victory<ext><name>ref</name><attr/><inner>O'Hara 2004, p. 7.</inner><close>&lt;/ref&gt;</close></ext>	
Altmark Incident	[[Jossingfjord]], [[Sokndal]], [[Norway]]	16 February 1940	1 injured<br/>(presumably in friendly fire)	8 killed<ext><name>ref</name><attr/><inner>Haar p. 378. </inner><close>&lt;/ref&gt;</close></ext><br/>5 seriously wounded<br/>5 slightly wounded	299 British POWs rescued	
Convoy SC 7	[[Western Approaches]]	16-19 October 1940	None	{{GRT|79,592|disp|=|long}}	German victory	
Convoy HX 84	[[North Atlantic]]	5 November 1940	None	5 merchants sunk<br/>1 merchant damaged<br/>1 escort sunk<br/>(1 merchant sunk post-dispersal)	German tactical victory	
Action of 4 April 1941	mid [[Atlantic Ocean]]	4 April 1941	74 killed<br/>~100 wounded<br/>195 captured<br/>1 auxiliary cruiser sunk	none<br/>1 auxiliary cruiser damaged	German victory	
Convoy OB 318	[[Atlantic Ocean]], South of [[Iceland]]	7-10  May 1941	7 freighters sunk (35,315[[Gross register tonnage|GRT]])<br/>40 killed/drowned 2 freighters damaged	1 submarine captured<br/>14 killed/drowned<br/>32 captured 2 submarines damaged	British victory	
Battle of the Denmark Strait	[[Denmark Strait]]	24 May 1941	1 battleship damaged,5 wounded	1 battlecruiser sunk<br/>1 battleship damaged<br/>1,428 dead<br/>9 wounded	German victory<comment>&lt;!--See [[Template:Infobox military conflict]] for permitted terms--&gt;</comment>	
Last battle of the battleship Bismarck	Atlantic Ocean	26-27 May 1941	1 light cruiser lightly damaged (3 killed, 2 wounded.)<ext><name>ref</name><attr/><inner>Grove,  ''Battle Summary 5'', paragraph 26: Bismarck fired 6 38&amp;nbsp;cm salvos at HMS Sheffield and 38&amp;nbsp;cm splinters caused 5 casualties.</inner><close>&lt;/ref&gt;</close></ext>	1 battleship scuttled  2,200 dead<ext><name>ref</name><attr/><inner>''Bismarck''&#8217;s complement as Fleet Flagship was 2220 (2092 + 128 Fleet staff) (Chesnau, p.224). For ''Operation Rheinubung'' she embarked over 100 supernumeraries, including merchant seamen to act as prize crews, cadets in training, and a film unit (Kennedy, p.33). The number of these supernumeraries, and hence the exact number of casualties, is unknown.</inner><close>&lt;/ref&gt;</close></ext> 110 captured	British victory	
Torpedo Alley	off [[North Carolina]], Atlantic Ocean	1942-1945	~5,000 killed<br/>397 ships sunk<ext><name>ref</name><attr> name="thomaslegion1"</attr><inner>{{cite web|url=http://thomaslegion.net/worldwaroneandworldwartwogermanuboatsouterbanksnorthcarolinatorpedoalley.html |title=Torpedo Alley |publisher=Thomaslegion.net |date= |accessdate=2012-11-21}}</inner><close>&lt;/ref&gt;</close></ext>	100 killed<br/>40 captured<br/>3 submarines sunk<ext><name>ref</name><attr> name="uboat1"</attr><inner>{{cite web|url=http://www.uboat.net/boats/u352.htm |title=The Type VIIC boat U-352 - German U-boats of WWII |publisher=uboat.net |date= |accessdate=2012-11-21}}</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="uboat2"</attr><inner>{{cite web|url=http://www.uboat.net/boats/u701.htm |title=The Type VIIC boat U-701 - German U-boats of WWII |publisher=uboat.net |date= |accessdate=2012-11-21}}</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="uboat3"</attr><inner>{{cite web|url=http://www.uboat.net/boats/u85.htm |title=The Type VIIB boat U-85 - German U-boats of WWII |publisher=uboat.net |date= |accessdate=2012-11-21}}</inner><close>&lt;/ref&gt;</close></ext>	German tactical victory	
