Engagement	Location	Date	Casualties 1	Casualties 2	Result
Second Sino-Japanese War	[[Mainland China]] and [[British Burma|Burma]]	{{Age in years, months, weeks and days |month1|=|07|day1|=|07|year1|=|1937|month2|=|09|day2|=|09|year2|=|1945}}	'''Chinese Nationalists''': ''Official ROC data'': 1,320,000 killed 1,797,000 wounded 120,000 missing Total: 3,237,000<ext><name>ref</name><attr> name=Hsu</attr><inner>Hsu Long-hsuen "History of the Sino-Japanese war (1937&#8211;1945)" Taipei 1972</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name=Clodfelter</attr><inner>Clodfelter, Michael "Warfare and Armed Conflicts: A Statistical Reference", Vol. 2, pp. 956. Includes civilians who died due to famine and other environmental disasters caused by the war.</inner><close>&lt;/ref&gt;</close></ext>''Other estimates'': 1,319,000-4,000,000+ military dead and missing 500,000 captured<ext><name>ref</name><attr> name="Rummel, Table 6A"</attr><inner>[https://www.hawaii.edu/powerkills/CHINA.TAB6.A.GIF Rummel, Table 6A.]</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="ReferenceA"</attr><inner>[[R. J. Rummel]]. ''China's Bloody Century''. Transaction 1991 {{ISBN|0-88738-417-X}}.</inner><close>&lt;/ref&gt;</close></ext> Total: 3,211,000-10,000,000+ military casualties<ext><name>ref</name><attr> name="ReferenceA"</attr><inner>[[R. J. Rummel]]. ''China's Bloody Century''. Transaction 1991 {{ISBN|0-88738-417-X}}.</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="Rummel, Table 5A"</attr><inner>[https://www.hawaii.edu/powerkills/CHINA.TAB5.A.GIF Rummel, Table 5A.] Retrieved 5 October 2015.</inner><close>&lt;/ref&gt;</close></ext>'''Chinese Communists''': ''Official PRC data'': 160,603 military dead 290,467 wounded 87,208 missing 45,989 POWs Total: 584,267 military casualties<ext><name>ref</name><attr/><inner>Meng Guoxiang &amp; Zhang Qinyuan, 1995. "&#20851;&#20110;&#25239;&#26085;&#25112;&#20105;&#20013;&#25105;&#22269;&#20891;&#27665;&#20260;&#20129;&#25968;&#23383;&#38382;&#39064;".</inner><close>&lt;/ref&gt;</close></ext>''Other estimates'': 446,740 total<ext><name>ref</name><attr> name="Rummel, Table 5A"</attr></ext>'''Total''': 3,800,000-10,600,000+ military casualties after July 1937 500,000 captured<ext><name>ref</name><attr> name="Rummel, Table 6A"</attr><inner>[https://www.hawaii.edu/powerkills/CHINA.TAB6.A.GIF Rummel, Table 6A.]</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="ReferenceA"</attr><inner>[[R. J. Rummel]]. ''China's Bloody Century''. Transaction 1991 {{ISBN|0-88738-417-X}}.</inner><close>&lt;/ref&gt;</close></ext> 266,800-1,000,000 POWs dead<ext><name>ref</name><attr> name="Rummel, Table 6A"</attr><inner>[https://www.hawaii.edu/powerkills/CHINA.TAB6.A.GIF Rummel, Table 6A.]</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="ReferenceA"</attr></ext>	{{efn|This number does not include Japanese killed by Chinese forces in the Burma campaign and does not include Japanese killed in Manchuria}}	* Chinese victory as part of the [[Allies of World War II|Allied]] victory in the [[Pacific War]]* Surrender of all Japanese forces in mainland China (excluding [[Manchuria]]), [[Formosa]]/[[Taiwan]], the [[Spratly Islands]], the [[Paracel Islands]], and [[French Indochina]] north of [[16th parallel north|16 degrees north]] to the [[Republic of China (1912-1949)|Republic of China]] after losing territory to China* China was one of the [[Big Four (World War II)|Big Four of the Allies]] and becomes a permanent member of the [[United Nations Security Council|U.N. Security Council]]* Resumption of the [[Chinese Civil War]]	
Battle of Shanghai	[[Shanghai]] and proximity	August 13, 1937 - November 26, 1937 (3 months, 1 week, and 6 days)	~250,000<ext><name>ref</name><attr> name="ww2db.com"</attr><inner>[http://ww2db.com/battle_spec.php?battle_id=85 WW II Database: The Second Battle of Shanghai] Retrieved 20 May 2016</inner><close>&lt;/ref&gt;</close></ext>	59,493+ (combat casualties excluding death caused by disease)<ext><name>ref</name><attr/><inner>{{cite book|title=&#21335;&#20140;&#25126;&#21490;|publisher=Asagumo Shimbunsha|language=Japanese|pp=306&#8211;307|year=1966}}</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr/><inner>{{cite book|title=[[Senshi S&#333;sho]] (&#25126;&#21490;&#21474;&#26360;)|publisher=Asagumo Shimbunsha|language=Japanese|volume=2|year=1966}}</inner><close>&lt;/ref&gt;</close></ext> 98,417 killed and wounded<ext><name>ref</name><attr/><inner>&#25140;&#23792;&#12289;&#21608;&#26126;&#12298;&#28126;&#28396;&#26371;&#25136;-1937&#24180;&#20013;&#26085;813&#25136;&#24441;&#22987;&#26411;&#12299;&#65292;&#21488;&#21271;&#24066;&#65306;&#30693;&#20853;&#22530;&#20986;&#29256;&#65292;2013&#24180;&#65292;P194&#12290;</inner><close>&lt;/ref&gt;</close></ext>	Japanese victory	
Defense of Sihang Warehouse	[[Zhabei District|Zhabei]], [[Shanghai]], [[Republic of China (1912-49)|China]]	October 26 - November 1, 1937	10 killed 37 wounded	200+ killed Several armoured cars destroyed and damaged	Chinese victory*Withdrawal of Chinese forces to British concession in 1 November	
Beiping-Hankou Railway Operation	[[Beijing-Hankou Railway]]	August - December 1937	?	?	Japanese victory	
Tianjin-Pukou Railway Operation	[[Tianjin-Pukou Railway]]	August - November 1937	?	?	Japanese victory	
Battle of Taiyuan	[[Taiyuan]], [[North China Plain]]	September 1 - November 9, 1937			Japanese victory	
Battle of Pingxingguan	[[Pingxingguan]], [[Shanxi]]	Evening of 24 September - noon of 25 September 1937	~400<ext><name>ref</name><attr> name=yang</attr></ext>	400-500<ext><name>ref</name><attr> name=yang</attr></ext>	Chinese victory	
Battle of Xinkou	[[Niangzi Pass]] and [[Taiyuan]]	13 September - 11 November 1937	100,000 dead, injured or missing<ext><name>ref</name><attr> name="Documentary"</attr></ext><ext><name>ref</name><attr> name="Article"</attr><inner>Article about the Battle of Xinkou http://www.hudong.com/wiki/%E5%BF%BB%E5%8F%A3%E4%BC%9A%E6%88%98</inner><close>&lt;/ref&gt;</close></ext>	20,000 killed<ext><name>ref</name><attr> name="Documentary"</attr><inner>My War of Resistance: The smoke of Xinkou (Documentary) https://www.youtube.com/watch?v=DepjF7kXgrs&amp;feature=results_video&amp;playnext=1&amp;list=PLA4BB7587056DBDED</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="Article"</attr></ext><br/>Tens of thousands more wounded<br/>Dozens of tanks and 24+ planes<ext><name>ref</name><attr> name=s1</attr><inner>http://news.sohu.com/88/00/news202650088.shtml</inner><close>&lt;/ref&gt;</close></ext>	Japanese victory	
Battle of Nanking	[[Nanjing|Nanking]] and surrounding areas	December 1-13, 1937	'''Chinese estimate''': 6,000-10,000 killed and wounded<ext><name>ref</name><attr/><inner>{{cite journal|url=http://jds.cass.cn/UploadFiles/zyqk/2010/12/201012101114478943.pdf|author=Zhaiwei Sun|title=&#21335;&#20140;&#22823;&#23648;&#26432;&#36935;&#38590;&#21516;&#32990;&#20013;&#31350;&#31455;&#26377;&#22810;&#23569;&#20891;&#20154;|year=1997|journal=''&#25239;&#26085;&#25112;&#20105;&#30740;&#31350;''|issue=4|language=zh|archiveurl=https://web.archive.org/web/20150709222256/http://jds.cass.cn/UploadFiles/zyqk/2010/12/201012101114478943.pdf |archivedate=July 9, 2015|accessdate=April 14, 2017}}</inner><close>&lt;/ref&gt;</close></ext>'''Japanese source''': 50,000-70,000 killed<ext><name>ref</name><attr/><inner>Michael Richard Gibson, ''Chiang Kai-shek&#8217;s Central Army, 1924&#8211;1938'' (Washington DC: George Washington University, 1985), 388.</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="echo"</attr></ext>	{{Plainlist|*1,953 killed in battle*4,994 wounded|ref|Masahiro Yamamoto, ''Nanking: Anatomy of an Atrocity'' (Westport, Connecticut: Praeger, 2000), 118. Yamamoto cites Masao Terada, planning chief of Japan's 10th Army.|</ref>}}	Japanese victory Fall of Nanking [[Nanking Massacre]]	
Battle of Xuzhou	[[Xuzhou]] and proximity	24 March-1 May 1938	100,000<ext><name>ref</name><attr/><inner>https://ww2db.com/battle_spec.php?battle_id=173</inner><close>&lt;/ref&gt;</close></ext>	30,000<ext><name>ref</name><attr/><inner>https://ww2db.com/battle_spec.php?battle_id=173</inner><close>&lt;/ref&gt;</close></ext>	Japanese tactical  victory Successful Chinese breakthrough<ext><name>ref</name><attr> name="Doc"</attr><inner>Documentary: The Battle of Wuhan https://www.youtube.com/watch?v=PGM-QARKzIg</inner><close>&lt;/ref&gt;</close></ext>	
