name,lat,lon,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
"New York, NY",40.7127837,-74.0059413,1515301,3437202,4766883,5620048,6930446,7454995,7891957,7781984,7894862,7071639,7322564
"Los Angeles, CA",34.0522342,-118.2436849,50395,102479,319198,576673,1238048,1504277,1970358,2479015,2816061,2966850,3485398
"San Francisco, CA",37.7749295,-122.4194155,298997,342782,416912,506676,634394,634536,775357,740316,715674,678974,723959
"Washington, DC",38.9071923,-77.0368707,230392,278718,331069,437571,486869,663091,802178,763956,756510,638333,606900
"Detroit, MI",42.331427,-83.0457538,205876,285704,465766,993078,1568662,1623452,1849568,1670144,1511482,1203339,1027974
"Dallas, TX",32.7766642,-96.7969879,38067,42638,92104,158976,260475,294734,434462,679684,844401,904078,1006877
"Chicago, IL",41.8781136,-87.6297982,1099850,1698575,2185283,2701705,3376438,3396808,3620962,3550404,3366957,3005072,2783726
"Boston, MA",42.3600825,-71.0588801,448477,560892,670585,748060,781188,770816,801444,697197,641071,562994,574283
"Baltimore, MD",39.2903848,-76.6121893,434439,508957,558485,733826,804874,859100,949708,939024,905759,786775,736014
"Cleveland, OH",41.49932,-81.6943605,261353,381768,560663,796841,900429,878336,914808,876050,750903,573822,505616
"Denver, CO",39.7392358,-104.990251,106713,133859,213381,256491,287861,322412,415786,493887,514678,492365,467610
"Indianapolis, IN",39.768403,-86.158068,105436,169164,233650,314194,364161,386972,427173,476258,744624,700807,731327
"Philadelphia, PA",39.9525839,-75.1652215,1046964,1293697,1549008,1823779,1950961,1931334,2071605,2002512,1948609,1688210,1585577
"St. Louis, MO",38.6270025,-90.1994042,451770,575238,687029,772897,821960,816048,856796,750026,622236,453085,396685
