lat,lon,pop,dist
40.4208,-74.0375,115,32.1196755253773
40.4292,-74.0708,5,32.074788164004
40.4292,-74.0625,22,31.84005489643804
40.4292,-73.9792,1,30.293212617741982
40.4375,-74.0958,365,32.018201487815055
40.4375,-74.0875,195,31.736459205688696
40.4375,-74.0792,89,31.46781916406277
40.4458,-74.1208,1390,32.126751125202425
40.4458,-74.1125,459,31.79979127539081
40.4458,-74.1042,37,31.484737471645364
40.4458,-73.9792,1,28.458933558291385
40.4542,-74.1375,1219,32.01925265873579
40.4542,-74.1292,568,31.660036981246886
40.4542,-74.1208,2,31.307654330479696
40.4542,-74.0042,1,27.864318783301748
40.4542,-73.9958,1,27.734886231250986
40.4625,-74.0042,151,26.959490182718966
40.4625,-73.9875,1,26.71158776964334
40.4708,-74.0125,11,26.211023520164662
40.4708,-74.0042,5,26.05635159278804
40.5125,-74.2292,969,32.105010919474594
40.5125,-74.2208,392,31.569123720874998
40.5125,-74.2125,110,31.046388877527928
40.5125,-74.2042,799,30.53078828274304
40.5125,-74.1958,486,30.01666537828835
40.5208,-74.2375,717,32.05815492948024
40.5208,-74.2292,537,31.512257836219447
40.5208,-74.2208,811,30.96618268271818
40.5208,-74.2125,2037,30.433159826150742
40.5208,-74.2042,954,29.90705474187966
40.5208,-74.1958,800,29.38208551473777
40.5208,-74.1875,761,28.87104618599212
40.5208,-74.1792,163,28.36810932443984
40.5208,-74.1708,137,27.867859710952075
40.5292,-74.2458,57,32.045946803079566
40.5292,-74.2375,219,31.48484662694335
40.5292,-74.2292,25,30.92890262575393
40.5292,-74.2208,1137,30.372411400734805
40.5292,-74.2125,800,29.828848914088162
40.5292,-74.2042,1479,29.291959935122026
40.5292,-74.1958,5007,28.75583154501437
40.5292,-74.1875,851,28.233525136223307
40.5292,-74.1792,440,27.719088590247488
40.5292,-74.1708,711,27.20697300560118
40.5292,-74.1625,1466,26.709749471524237
40.5292,-74.1542,373,26.221820897189712
40.5375,-74.2542,2,32.09054326467829
40.5375,-74.2458,27,31.506635976622597
40.5375,-74.2375,1065,30.935826963695206
40.5375,-74.2292,40,30.369905195587798
40.5375,-74.2208,2320,29.80304895293877
40.5375,-74.2125,1807,29.24897667314639
40.5375,-74.2042,2530,28.701311125373724
40.5375,-74.1958,1629,28.154005913973574
40.5375,-74.1875,1620,27.62038798599674
40.5375,-74.1792,1343,27.094378220451286
40.5375,-74.1708,1389,26.5702902834031
40.5375,-74.1625,2219,26.06098589059984
40.5375,-74.1542,2415,25.56073867029104
40.5375,-74.1458,1534,25.064288622126906
40.5375,-74.1292,6,24.11480715096748
40.5458,-74.2625,220,32.16866295353932
40.5458,-74.2542,212,31.5786554663521
40.5458,-74.2458,3,30.98517760074805
40.5458,-74.2375,20,30.40465312383645
40.5458,-74.2292,702,29.828727543484273
40.5458,-74.2208,1634,29.251458138785043
40.5458,-74.2125,3664,28.68680483037101
40.5458,-74.2042,775,28.12826571426755
40.5458,-74.1958,3642,27.56965688397061
40.5458,-74.1875,1466,27.02457133819556
40.5458,-74.1792,2138,26.486799065222755
40.5458,-74.1708,2952,25.950510747460935
40.5458,-74.1625,2792,25.428861416444743
40.5458,-74.1542,2756,24.915990286736474
40.5458,-74.1458,2983,24.40649283089117
40.5458,-74.1375,882,23.912996235008734
40.5458,-74.1125,31,22.493541267810023
40.5542,-74.2625,790,31.679200952826697
40.5542,-74.2542,241,31.079979089213666
40.5542,-74.2458,1,30.47686847448435
40.5542,-74.2375,2,29.886546927443263
40.5542,-74.2292,921,29.300513614271196
40.5542,-74.2208,150,28.71270096231072
40.5542,-74.2125,1118,28.13731103448216
40.5542,-74.2042,626,27.56771331262854
40.5542,-74.1958,3475,26.997580861305217
40.5542,-74.1875,1197,26.440775027110835
40.5542,-74.1792,2525,25.890949497075255
40.5542,-74.1708,3338,25.342124615178808
40.5542,-74.1625,3359,24.80775342611225
40.5542,-74.1542,2889,24.28183376498186
40.5542,-74.1458,2085,23.758807346007227
40.5542,-74.1375,3237,23.251632567738035
40.5542,-74.1292,852,22.755173929288695
40.5542,-74.1208,1081,22.26302580731377
40.5542,-74.1125,564,21.789325311209005
40.5542,-74.1042,40,21.327655769101373
40.5542,-73.9292,433,16.237910935225322
40.5542,-73.9208,424,16.293084908301996
40.5542,-73.9125,270,16.377595212806582
40.5542,-73.9042,4,16.49145560835842
40.5625,-74.2708,943,31.82799401429944
40.5625,-74.2625,802,31.21544025236391
40.5625,-74.2542,566,30.607216541823057
40.5625,-74.2458,4,29.994678255675193
40.5625,-74.2292,22,28.798785331491583
40.5625,-74.2208,95,28.200591608874994
40.5625,-74.2125,14,27.61460668415902
40.5625,-74.2042,14,27.034070819755055
40.5625,-74.1958,207,26.452512185627334
40.5625,-74.1875,1750,25.884055039035044
40.5625,-74.1792,2595,25.32221471261657
40.5625,-74.1708,925,24.76085744935413
40.5625,-74.1625,1105,24.213730349955547
40.5625,-74.1542,2738,23.67468610954332
40.5625,-74.1458,1926,23.13800674607278
40.5625,-74.1375,1842,22.616980471941194
40.5625,-74.1292,1974,22.10633763720048
40.5625,-74.1208,2719,21.599474318816128
40.5625,-74.1125,3503,21.110951186581048
40.5625,-74.1042,2914,20.63416907606115
40.5625,-74.0958,297,20.164989475724976
40.5625,-73.9292,50,15.316445826520981
40.5625,-73.9208,363,15.374919652058141
40.5625,-73.9125,955,15.464437292765949
40.5625,-73.9042,1,15.584955548608669
40.5625,-73.8958,41,15.737743819280555
40.5625,-73.8875,126,15.918323692289158
40.5625,-73.8792,1,16.127126937105118
40.5708,-74.2792,1135,32.02538298869982
40.5708,-74.2708,1427,31.393505883606696
40.5708,-74.2625,314,30.772382301708074
40.5708,-74.2542,132,30.15530093455123
40.5708,-74.2458,727,29.533469176486363
40.5708,-74.2375,920,28.92405265304755
40.5708,-74.2292,1897,28.318259874862544
40.5708,-74.2208,2804,27.70977093702133
40.5708,-74.2125,10,27.113255071971263
40.5708,-74.1958,53,25.92885069935905
40.5708,-74.1875,1,25.348725727105187
40.5708,-74.1708,32,24.20084117397538
40.5708,-74.1625,149,23.640827302047686
40.5708,-74.1542,146,23.088480781643778
40.5708,-74.1458,307,22.53791599123387
40.5708,-74.1375,1733,22.002751327674346
40.5708,-74.1292,2637,21.477575722671254
40.5708,-74.1208,2483,20.95557529465024
40.5708,-74.1125,4112,20.451740637663235
40.5708,-74.1042,2656,19.95927952637467
40.5708,-74.0958,2388,19.473907734676818
40.5708,-74.0875,919,19.008061668397
40.5708,-74.0792,1,18.556965359668407
40.5708,-74.0125,37,15.61453951349624
40.5708,-74.0042,1488,15.353879453758761
40.5708,-73.9958,6500,15.118127723581562
40.5708,-73.9875,3300,14.915023502103164
40.5708,-73.9792,56,14.742226221486874
40.5708,-73.9708,79,14.599527255150727
40.5708,-73.9625,30,14.49122799888823
40.5708,-73.9542,84,14.416185768872332
40.5708,-73.9458,6,14.374633996022792
40.5708,-73.8958,138,14.84259388659589
40.5708,-73.8875,275,15.033906090619483
40.5708,-73.8625,932,15.784609910523406
40.5708,-73.8542,992,16.087429628245513
40.5708,-73.8458,232,16.418619962508888
40.5792,-74.2792,1343,31.615778332278598
40.5792,-74.2708,1502,30.97562801063039
40.5792,-74.2625,848,30.346032409892608
40.5792,-74.2542,625,29.720179489626577
40.5792,-74.2458,396,29.089127858101357
40.5792,-74.2375,1799,28.470280222284476
40.5792,-74.2292,2703,27.85469858790729
40.5792,-74.2208,2488,27.23593361732601
