airport,latlon,total_passengers
"Atlanta, Georgia","33.7489954,-84.3879824",1663990
"Boston, Massachusetts","42.3600825,-71.05888010000001",1582830
"Charlotte, North Carolina","35.2270869,-80.84312669999997",1176960
"Chicago-O'Hare, Illinois","41.9772281,-87.83672089999999",2149520
"Dallas/Fort Worth, Texas","32.7554883,-97.3307658",779000
"Denver, Colorado","39.7392358,-104.990251",470000
"Detroit, Michigan","42.331427,-83.0457538",469000
"Fort Lauderdale, Florida","26.1224386,-80.13731740000003",1726390
"Houston-Intercontinental, Texas","30.6686685,-96.32585440000003",505500
"Las Vegas, Nevada","36.1699412,-115.13982959999998",560000
"Los Angeles, California","34.0522342,-118.2436849",2346070
"Miami, Florida","25.7616798,-80.19179020000001",1848680
"Orlando, Florida","28.5383355,-81.37923649999999",1965630
"Phoenix, Arizona","33.4483771,-112.07403729999999",372000
"San Francisco, California","37.7749295,-122.41941550000001",1940300
"San Juan, Puerto Rico","18.4655394,-66.10573549999998",619000
"Seattle, Washington","47.6062095,-122.3320708",344000
