name,lat,lon,1790-rank,1790-pop,1790-per,1800-rank,1800-pop,1800-per,1810-rank,1810-pop,1810-per,1820-rank,1820-pop,1820-per,1830-rank,1830-pop,1830-per,1840-rank,1840-pop,1840-per,1850-rank,1850-pop,1850-per,1860-rank,1860-pop,1860-per,1870-rank,1870-pop,1870-per,1880-rank,1880-pop,1880-per,1890-rank,1890-pop,1890-per,1900-rank,1900-pop,1900-per,1910-rank,1910-pop,1910-per,1920-rank,1920-pop,1920-per,1930-rank,1930-pop,1930-per,1940-rank,1940-pop,1940-per,1950-rank,1950-pop,1950-per,1960-rank,1960-pop,1960-per,1970-rank,1970-pop,1970-per,1980-rank,1980-pop,1980-per,1990-rank,1990-pop,1990-per,2000-rank,2000-pop,2000-per,2010-rank,2010-pop,2010-per
Philadelphia,39.9525839,-75.1652215,1,44.1,0.22,1,61.6,0.21,2,87.3,0.19,2,109,0.19,2,161,0.18,2,259,0.16,2,405,0.15,2,608,0.16,2,747,0.13,2,949,0.13,2,1180,0.11,3,1454,0.1,3,1746,0.09,3,2072,0.09,3,2264,0.08,3,2538,0.07,4,3297,0.07,4,3989,0.07,4,4419,0.06,4,4830,0.06,5,4970,0.06,5,5418,0.05,5,6003,0.05
New York,40.7127837,-74.0059413,2,33.1,0.17,2,60.5,0.21,1,101,0.22,1,131,0.23,1,215,0.25,1,374,0.24,1,650,0.24,1,1143,0.29,1,1687,0.29,1,2234,0.3,1,2977,0.28,1,4266,0.3,1,6021,0.32,1,7041,0.3,1,8667,0.3,1,10135,0.3,1,12604,0.27,1,14437,0.25,1,16193,0.24,1,16500,0.21,1,16754,0.19,1,18689,0.18,1,20009,0.17
Boston,42.3600825,-71.0588801,3,18.3,0.09,4,24.9,0.09,4,38.7,0.09,4,54,0.09,3,85.6,0.1,3,183,0.12,3,308,0.12,3,374,0.1,3,501,0.09,3,658,0.09,4,818,0.08,4,1009,0.07,4,1213,0.06,4,1366,0.06,6,1479,0.05,6,1746,0.05,6,2301,0.05,7,2501,0.04,7,2703,0.04,7,3064,0.04,9,3355,0.04,9,4032,0.04,11,4407,0.04
Charleston,32.7764749,-79.9310512,4,16.4,0.08,5,18.8,0.06,5,24.7,0.05,7,24.8,0.04,8,30.3,0.03,10,42.6,0.03,15,50,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salem, MA",42.51954,-70.8967155,5,13.6,0.07,6,14.7,0.05,6,23.1,0.05,8,22.6,0.04,9,27.3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore,39.2903848,-76.6121893,6,13.5,0.07,3,26.5,0.09,3,46.6,0.1,3,62.7,0.11,4,80.6,0.09,4,110,0.07,4,179,0.07,4,221,0.06,6,283,0.05,6,353,0.05,6,453,0.04,7,532,0.04,8,589,0.03,10,753,0.03,11,836,0.03,11,992,0.03,12,1162,0.03,13,1419,0.02,16,1580,0.02,15,1755,0.02,18,1890,0.02,17,2251,0.02,18,2497,0.02
"Newport, RI",41.4901024,-71.3128285,7,6.7,0.03,10,6.7,0.02,13,7.9,0.02,17,7.3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence,41.8239891,-71.4128343,8,6.4,0.03,8,7.6,0.03,10,10.1,0.02,11,11.8,0.02,11,22.4,0.03,11,40.9,0.03,12,65,0.02,15,69,0.02,15,101,0.02,17,128,0.02,20,163,0.02,17,243,0.02,20,274,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gloucester, MA",42.6159285,-70.6619888,9,5.3,0.03,15,5.3,0.02,18,5.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newburyport, MA",42.8125913,-70.8772751,10,4.8,0.02,11,6,0.02,14,7.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
