CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
41627819,JACOB'S PICKLES,MANHATTAN,509,AMSTERDAM AVENUE,10024,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,106,
41508999,WANG CHINA CITY,BROOKLYN,756,LINDEN BOULEVARD,11203,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,40,
50043804,DEE & L'S PIZZA PLUS,QUEENS,14621,ROCKAWAY BLVD,11436,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,82,
50054864,MCBEANS RESTAURANT,BROOKLYN,1501,FLATBUSH AVE,11210,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,55,
50038936,PUTTIN ON A BAGEL COFFEE SHOP,STATEN ISLAND,714,CASTLETON AVE,10310,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,86,
50004556,GRAN FAMILIA MEXICANA RESTAURANT,BROOKLYN,117,AVENUE U,11223,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,35,
50046937,B&S COFFEE SHOP,QUEENS,2106,36TH AVE,11106,Caf̩/Coffee/Tea,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,54,
40883586,EUREST DINING SERVICE (American Express),MANHATTAN,200,VESEY STREET,10285,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,81,
41700602,NEW PHOENIX,STATEN ISLAND,480,TARGEE STREET,10304,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,54,
50052221,MEI LAI WAH COFFEE SHOP,MANHATTAN,62-64,BAYARD ST,10013,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,
41701489,SAGAR RESTAURANT,QUEENS,16825,HILLSIDE AVENUE,11432,Bangladeshi,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40,
41355046,FRESCO TORTILLAS,MANHATTAN,858,10 AVENUE,10019,Tex-Mex,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,48,
41167453,EL MANGU SABROSO RESTAURANT,BRONX,80,WEST KINGSRIDGE ROAD,10468,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,45,
41178622,TASTEE PATTEE,BROOKLYN,1371,FULTON STREET,11216,Caribbean,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,17,
50006281,EL NUEVO JB BAKERY,BRONX,97,W FORDHAM RD,10468,Bakery,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,66,
