entered_by,conflict_name,start_year,stop_year,side_1,side_2,side_1_support,side_2_support,side_1_max_strength,side_2_max_strength,total_deaths,winning_side,description,wikipedia_link,location,lat,lon
awellers,Chinese Civil War,1944,1949,Chinese Communist Party; People's Liberation Army;,Kuomintang; National Revolutionary Army;,Soviet Union;,United States,4000000,4300000,4300000,1,"The Chinese Civil War was a war fought between the Kuomintang (KMT)-led government of the Republic of China and the Communist Party of China (CPC). The war marked a major turning point in modern Chinese history, with the Communists gaining control of mainland China and establishing the People's Republic of China (PRC) in 1949 and forced the Republic of China (ROC) to retreat to Taiwan. It resulted in a lasting political and military standoff between the two sides of the Taiwan Strait, with the ROC in Taiwan and the PRC on mainland China with both officially claiming to be the legitimate government of all China.",https://en.wikipedia.org/wiki/Chinese_Civil_War,China,35.86166,104.195397
jearl1,Greek Civil War,1946,1949,Greek Government Army,Democratic Army of Greece,United Kingdom; United States,Yugoslavia; Albania; Bulgaria,232500,26000,158000,1,"The postwar tension between the Western and Communist worlds came to bloodshed in Greece in the savage civil war of 1946-49 between the Greek Communist Party (KKE) and the royalist government restored by plebiscite in 1946. The Communist spearhead was the so-called Democratic Army of Greece preyed on the local villagers with what proved to be counter-productive effect. Men and women were forcibly conscripted and thousands of children were seized and sent to Communist countries to be educated as Marxist-Leninists. Markos received substantial aid from the Communist regimes in Yugoslavia, Albania and Bulgaria, while the royalist government was given arms, equipment and massive help by the Americans, who believed that the KKE was backed by Stalin, while the Greek Communists themselves complained angrily about lack of support from Moscow.",https://en.wikipedia.org/wiki/Greek_Civil_War,Greece,39.0742,21.8243
apickell,Iran crisis of 1946,1945,1946,Imperial State of Iran,Azerbaijan People's Republic; Republic of Mahabad,United States; United Kingdom,Soviet Union,12750,125000,2000,1,"The Iran crisis of 1946, also known as the Iran-Azerbaijan Crisis (Persian: غائله آذربایجان‎‎ Qaʾilih Âzarbâyjân, ""Azerbaijan crisis""), followed the end of World War II and stemmed from the Soviet Union's refusal to relinquish occupied Iranian territory, despite repeated assurances.",https://en.wikipedia.org/wiki/Iran_crisis_of_1946,Iran,35.715298,51.404343
sgeyer,First Indochina War,1946,1954,Viet Minh,France,Soviet Union; China; East Germany,United States,450000,450000,576063,1,"Việt Minh (“League for the Independence of Vietnam"") was a national independence coalition formed at Pác Bó by Ho Chi Minh on May 19, 1941. The Việt Nam Độc Lập Đồng Minh Hội had previously formed in Nanjing, China, at some point between August 1935 and early 1936 when Vietnamese Nationalist or other Vietnamese nationalist parties formed an anti-imperialist united front. This organization soon lapsed into inactivity, only to be revived by the Indochinese Communist Party (ICP) and Hồ Chí Minh in 1941.The Việt Minh established itself as the only organized anti-French and anti-Japanese resistance group.The Việt Minh initially formed to seek independence for Vietnam from the French Empire. The United States supported France. When the Japanese occupation began, the Việt Minh opposed Japan with support from the United States and the Republic of China. After World War II, the Việt Minh opposed the re-occupation of Vietnam by France and later opposed South Vietnam and the United States in the Vietnam War.",https://en.wikipedia.org/wiki/First_Indochina_War,Vietnam,14.0583,108.2772
bjimenez,Paraguayan Civil War,1947,1947,Paraguayan Government;Colorado Party of Paraguay; Military of Paraguay,Liberal Party of Paraguay;Revolutionary Febrerista Party;Paraguayan Communist Party,,,20000,3000,,1,"The Paraguayan Civil War, also known as the Barefoot Revolution and the Second Paraguayan Civil War, was a conflict in Paraguay that lasted from March to August 1947.",https://en.wikipedia.org/wiki/Paraguayan_Civil_War_(1947),Paraguay,-23.4425,-58.4438
loliveto,Malayan Emergency,1948,1960,United Kingdom;Australia;New Zealand,Malayan Communist Party;,Thailand,People's Republic of China;Viet Minh;North Vietnam;Soviet Union;Indonesia,351000,150000,8575,1,"The Malayan Emergency (Malay: Darurat Malaya) was a guerrilla war fought in pre- and post-independence Federation of Malaya, from 1948 until 1960. The main antagonists were the Commonwealth armed forces, and the Malayan National Liberation Army (MNLA), the military arm of the Malayan Communist Party (MCP). The ""Malayan Emergency"" was originally the colonial government's term for the conflict. The MNLA called it the Anti-British National Liberation War. The rubber plantations and tin-mining industries had pushed for the use of the term ""emergency"" since their losses would not have been covered by Lloyd's insurers if it had been termed a ""war"". Despite the communists' surrender in 1960, communist leader Chin Peng renewed the insurgency against the Malaysian government in 1967; this second phase of the insurgency lasted until 1989. He fled to exile in Thailand, where he lived until his death on 16 September 2013.",https://en.wikipedia.org/wiki/Malayan_Emergency,Southeast Asia,-2.2179704,115.66283
mconchar,Korean War,1950,1953,South Korea,North Korea,United States; United Kingdom; Canada; Turkey; Australia; Phillipines; New Zealand,China; Soviet Union,972214,1642600,1100000,0,The Korean War was a war between North Korea (with the support of China and the Soviet Union) and South Korea (with the principal support of the United States).,https://en.wikipedia.org/wiki/Korean_War,Korean Peninsula,38° 21.38604,127° 26.12772
loliveto,Mau Mau Uprising,1952,1960,Mau Mau Rebels,British Empire;Kenya,,,,56000,12200,2,"The Mau Mau Uprising (1952–60), also the Mau Mau Rebellion, the Kenya Emergency, and the Mau Mau Revolt, was a war in British Kenya.The Kenya Emergency featured the Mau Mau groups of people, politically dominated by the Kikuyu people, the white European settlers in Kenya, and the British Army, e.g. the local Kenya Regiment (British, auxiliaries, and pro–British Kikuyu people). The capture of rebel leader Dedan Kimathi on 21 October 1956 signalled the defeat of the Mau Mau, and ended the British military campaign. The Mau Mau failed to capture widespread public support, partly due to the British policy of divide and rule, and the movement remained internally divided, despite attempts to unify its various strands. The British, meanwhile, could draw upon the strategy and tactics they developed in putting down another rebellion in Malaya. The uprising created a rift between the European colonial community in Kenya and the metropole, but also resulted in violent divisions within the Kikuyu community. The financial cost of the uprising to the former colony amounted to £55 million.",https://en.wikipedia.org/wiki/Mau_Mau_Uprising,British Kenya,-1.316866,36.6903289
rfreeman,Second Indochina War,1953,1975," North Vietnam;Viet Cong;Laos Pathet Lao
National United Front of Kampuchea",South Vietnam;United States;Laos;Kingdom of Cmbodia;Khmer Republic ,Albania;Bulgaraia;China;Cuba; Czechoslovakia;East Germany; Hungary; India;Mongolia;North Korea;Poland;Romania;South Yemen;Soviet Union;Yugoslavia;Sweden,Argentina;Australia;Belgium;Brazil;Canada;Costa Rica;Denmark;Ecuador;France;Greece;Guatemala;Honduras;Iran;Itlay;Japan;Liberia;Luxembourg;Mayalaysia;Morocco;Norway;Netherlands;New Zealand;Pakistan;Philippines;South Africa;South Korea; Spain;Switzerland;Taiwan;Thailand;Tunisia;Turkey;United Kingdom;Uruguay;Venezula.,1420000,1060000,4211451,1,"the Second Indochina War,[59] and known in Vietnam as the Resistance War Against America (Vietnamese: Kháng chiến chống Mỹ) or simply the American War, was a war that occurred in Vietnam, Laos, and Cambodia from 1 November 1955[A 1] to the fall of Saigon on 30 April 1975. It was the second of the Indochina Wars and was officially fought between North Vietnam and the government of South Vietnam. The North Vietnamese army was supported by the Soviet Union, China and other communist allies and the South Vietnamese army was supported by the United States, South Korea, Australia, Thailand and other anti-communist allies.[60] The war is therefore considered a Cold War-era proxy war.[61]",https://en.wikipedia.org/wiki/Vietnam_War,Vietnam,14.0583,108.2772
sfuller,Algerian War,1954,1962,National Liberation Front,France,Algerian National Movement; Algerian Communist Party,Front Algeria Francaise; OAS,340000,470000,640463,1,"The Algerian War was a war between France and the Algerian National Liberation Front, from 1954 to 1962, which led to Algeria gaining its independence from France.",https://en.wikipedia.org/wiki/Algerian_War,Algeria ,28.0339,1.6596
