Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Year,Value (million US)
AFR,Africa,E28,European Union (28),AG,Agricultural products,X,2015,19344.00776
AFR,Africa,CIO,Other CIS (CIS11),MI,Fuels and mining products,X,2015,256.695315
AFR,Africa,OAS,Other Asia,AG,Agricultural products,X,2015,2964.345467
AFR,Africa,CIS,Commonwealth of Independent States (CIS),MI,Fuels and mining products,X,2015,460.448181
AFR,Africa,CIS,Commonwealth of Independent States (CIS),AG,Agricultural products,X,2015,1031.371576
AFR,Africa,NAX,North America,MI,Fuels and mining products,X,2015,16360.97552
AFR,Africa,NAX,North America,AG,Agricultural products,X,2015,2722.260536
AFR,Africa,CIO,Other CIS (CIS11),AG,Agricultural products,X,2015,171.823287
AFR,Africa,CSC,South and Central America,AG,Agricultural products,X,2015,280.45043
AFR,Africa,ASI,Asia,AG,Agricultural products,X,2015,12014.9212
AFR,Africa,ASI,Asia,MI,Fuels and mining products,X,2015,65554.59471
AFR,Africa,MX,Mexico,AG,Agricultural products,X,2015,125.425459
AFR,Africa,MX,Mexico,MI,Fuels and mining products,X,2015,298.917361
AFR,Africa,OEU,Other Europe,MI,Fuels and mining products,X,2015,8470.242245
AFR,Africa,ANZ,Australia and New Zealand,MI,Fuels and mining products,X,2015,238.453894
AFR,Africa,ANZ,Australia and New Zealand,AG,Agricultural products,X,2015,265.655201
AFR,Africa,RU,Russian Federation,AG,Agricultural products,X,2015,859.548289
AFR,Africa,RU,Russian Federation,MI,Fuels and mining products,X,2015,203.752866
AFR,Africa,AFR,Africa,AG,Agricultural products,X,2015,14672.73293
AFR,Africa,AFR,Africa,MI,Fuels and mining products,X,2015,19599.87849
AFR,Africa,OEU,Other Europe,AG,Agricultural products,X,2015,1195.268736
AFR,Africa,MEA,Middle East,AG,Agricultural products,X,2015,4512.16488
AFR,Africa,IN,India,AG,Agricultural products,X,2015,2974.552763
AFR,Africa,IN,India,MI,Fuels and mining products,X,2015,15591.77419
AFR,Africa,NI4,Four East Asian traders,AG,Agricultural products,X,2015,1285.417722
AFR,Africa,NI4,Four East Asian traders,MI,Fuels and mining products,X,2015,7990.611585
AFR,Africa,US,United States of America,MI,Fuels and mining products,X,2015,13717.17246
AFR,Africa,US,United States of America,AG,Agricultural products,X,2015,2151.577332
AFR,Africa,CSC,South and Central America,MI,Fuels and mining products,X,2015,8289.258294
AFR,Africa,E28,European Union (28),MI,Fuels and mining products,X,2015,73956.76488
AFR,Africa,MEA,Middle East,MI,Fuels and mining products,X,2015,2296.528788
AFR,Africa,CN,China,MI,Fuels and mining products,X,2015,31406.86205
AFR,Africa,CN,China,AG,Agricultural products,X,2015,3385.912458
AFR,Africa,OAS,Other Asia,MI,Fuels and mining products,X,2015,4089.054522
AFR,Africa,EUR,Europe,AG,Agricultural products,X,2015,20539.2765
AFR,Africa,EUR,Europe,MI,Fuels and mining products,X,2015,82427.00712
AFR,Africa,OAF,Other Africa,AG,Agricultural products,X,2015,12676.5021
AFR,Africa,OAF,Other Africa,MI,Fuels and mining products,X,2015,12635.16434
AFR,Africa,JP,Japan,MI,Fuels and mining products,X,2015,6237.838466
AFR,Africa,ZA,South Africa,AG,Agricultural products,X,2015,1996.230833
AFR,Africa,JP,Japan,AG,Agricultural products,X,2015,1139.037589
AFR,Africa,BR,Brazil,MI,Fuels and mining products,X,2015,6130.715764
AFR,Africa,BR,Brazil,AG,Agricultural products,X,2015,143.658959
AFR,Africa,ZA,South Africa,MI,Fuels and mining products,X,2015,6964.714148
G23,Andean Community,JP,Japan,MIFU,Fuels,X,2015,339
G23,Andean Community,ZA,South Africa,AGFO,Food,M,2015,2
G23,Andean Community,JP,Japan,AGFO,Food,X,2015,594
G23,Andean Community,ZA,South Africa,MACHOC,Other chemicals,X,2015,5
G23,Andean Community,JP,Japan,MIOR,Ores and other minerals,M,2015,11
G23,Andean Community,ZA,South Africa,MIOR,Ores and other minerals,M,2015,1
G23,Andean Community,NAX,North America,MAIS,Iron and steel,X,2015,62
G23,Andean Community,JP,Japan,AGFOOF,Other food products,X,2015,545
G23,Andean Community,JP,Japan,MACH,Chemicals,M,2015,123
G23,Andean Community,ZA,South Africa,MI,Fuels and mining products,M,2015,5
G23,Andean Community,ZA,South Africa,MAIS,Iron and steel,X,2015,24
G23,Andean Community,ZA,South Africa,MIOR,Ores and other minerals,X,2015,0
G23,Andean Community,JP,Japan,AG,Agricultural products,M,2015,15
G23,Andean Community,JP,Japan,MACHOC,Other chemicals,M,2015,90
G23,Andean Community,ZA,South Africa,AGFO,Food,X,2015,13
G23,Andean Community,JP,Japan,MIOR,Ores and other minerals,X,2015,1237
G23,Andean Community,NAX,North America,MACHOC,Other chemicals,X,2015,578
G23,Andean Community,NAX,North America,MINF,-Non--ferrous metals-,M,2015,150
G23,Andean Community,NAX,North America,MIOR,Ores and other minerals,M,2015,201
G23,Andean Community,ZA,South Africa,MACH,Chemicals,M,2015,21
G23,Andean Community,ZA,South Africa,MAIS,Iron and steel,M,2015,17
G23,Andean Community,ZA,South Africa,MI,Fuels and mining products,X,2015,132
G23,Andean Community,NAX,North America,MACH,Chemicals,M,2015,6678
G23,Andean Community,NAX,North America,MACHOC,Other chemicals,M,2015,5656
G23,Andean Community,ZA,South Africa,MACH,Chemicals,X,2015,6
G23,Andean Community,ZA,South Africa,AGFOOF,Other food products,M,2015,2
G23,Andean Community,ZA,South Africa,AGRA,Raw materials,M,2015,2
G23,Andean Community,JP,Japan,AGRA,Raw materials,X,2015,76
G23,Andean Community,ZA,South Africa,MACHOC,Other chemicals,M,2015,20
G23,Andean Community,JP,Japan,AGRA,Raw materials,M,2015,14
G23,Andean Community,NAX,North America,MIFU,Fuels,M,2015,9250
G23,Andean Community,NAX,North America,AGFO,Food,M,2015,5499
G23,Andean Community,JP,Japan,AGFOOF,Other food products,M,2015,1
G23,Andean Community,NAX,North America,AG,Agricultural products,X,2015,7779
G23,Andean Community,NAX,North America,MI,Fuels and mining products,M,2015,9601
G23,Andean Community,ZA,South Africa,AGFOOF,Other food products,X,2015,10
G23,Andean Community,NAX,North America,MACH,Chemicals,X,2015,637
G23,Andean Community,ZA,South Africa,MIFU,Fuels,X,2015,109
G23,Andean Community,ZA,South Africa,MIFU,Fuels,M,2015,3
G23,Andean Community,JP,Japan,MACHOC,Other chemicals,X,2015,24
G23,Andean Community,JP,Japan,MI,Fuels and mining products,X,2015,1629
G23,Andean Community,JP,Japan,MAIS,Iron and steel,M,2015,405
G23,Andean Community,ZA,South Africa,AGRA,Raw materials,X,2015,2
G23,Andean Community,ZA,South Africa,MINF,-Non--ferrous metals-,X,2015,23
G23,Andean Community,ZA,South Africa,AG,Agricultural products,M,2015,4
G23,Andean Community,ZA,South Africa,MINF,-Non--ferrous metals-,M,2015,1
G23,Andean Community,NAX,North America,AGRA,Raw materials,X,2015,1601
G23,Andean Community,NAX,North America,AGRA,Raw materials,M,2015,479
G23,Andean Community,ZA,South Africa,AG,Agricultural products,X,2015,15
G23,Andean Community,OAF,Other Africa,MIFU,Fuels,X,2015,103
